voltage,largest element,smallest element,element difference,element ratio difference,condition number
-150,433542989.0448944,12522.845398806085,433530466.19949561,34620.16620329977,7.655047146268384e+17
-140,381737748.32482415,14312.805243240478,381723435.51958096,26671.064255912221,92642464921057200.0
-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188986,1.2887346380998883e+17
-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,28753601160101592.0
-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,4.0630190452783008e+17
-100,234492411.26088765,24423.715527832945,234467987.54535985,9601.0130397098346,1.0967675815315789e+17
-90,209429907.32486603,27914.732836956449,209401992.59202904,7502.486538133754,1.0494307390206808e+17
-80,188066307.04156119,31904.740639099407,188034402.30092213,5894.6195228142715,4.3105552336469344e+17
-70,170024291.33495164,36465.062416810324,169987826.27253482,4662.6628357715572,69500448791680488.0
-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.7034046698795,3.773377997464505e+17
-50,142683434.73031145,47634.372316165412,142635800.3579953,2995.3881575949681,2.796935643547784e+17
-40,132901705.80709332,54443.017711476496,132847262.78938185,2441.1157094820237,43691379330016776.0
-30,125467256.75111784,62224.860608192634,125405031.89050964,2016.3525562739239,59696560718536832.0
-20,120248782.00473879,71119.00553030528,120177662.9992085,1690.810791125283,1.0663916016617054e+17
-10,117154114.0473401,81284.439984003038,117072829.60735609,1441.2858607427975,79820196171934432.0
0,116128595.55343381,92902.876442747031,116035692.67699106,1250.0,2.8879627960986707e+17
10,117154114.04734012,81284.439984003053,117072829.60735612,1441.2858607427975,2.2704411355572421e+18
20,120248782.00473882,71119.00553030528,120177662.99920852,1690.810791125283,2.149063991135016e+17
30,125467256.75111784,62224.860608192655,125405031.89050964,2016.3525562739239,1.910289942993172e+18
40,132901705.80709337,54443.017711476496,132847262.78938188,2441.1157094820237,5.5706508645773517e+17
50,142683434.73031151,47634.37231616542,142635800.35799536,2995.388157594969,1.3635061262295411e+18
60,154985206.20450804,41677.216314127247,154943528.9881939,3718.7034046698795,7.5467559949279002e+17
70,170024291.3349517,36465.062416810324,169987826.27253488,4662.6628357715581,7.0569686465405978e+17
80,188066307.04156128,31904.740639099426,188034402.30092219,5894.6195228142715,3.5498690159446374e+17
90,209429907.32486615,27914.732836956471,209401992.59202921,7502.4865381337549,9.9188131139702272e+17
100,234492411.2608878,24423.715527832956,234467987.54536,9601.0130397098364,1.0497632566090831e+18
-150,20236656.140373841,9.6045347052819838e-05,20236656.140277792,210698974612.94766,4.7863028370400768e+17
-140,19145354.152312629,9.547080033429762e-05,19145354.152217161,200536227676.6702,39966024846712896.0
-130,19076284.184731241,9.4899690574898278e-05,19076284.18463634,201015241136.90912,12829566030822950.0
-120,19008717.38751987,9.4331997214608824e-05,19008717.387425534,201508692159.61081,16497642077721350.0
-110,18942853.644892465,9.3767699816406944e-05,18942853.644798689,202018964760.59174,1.0422511939995046e+17
-100,18878926.867332853,9.3206778065525381e-05,18878926.867239647,202548862423.51126,20715891492875064.0
-90,18817210.819516994,9.264921176872052e-05,18817210.819424346,203101682791.32526,37085608171081856.0
-80,18758025.964720648,9.2094980853545482e-05,18758025.964628551,203681305874.32007,1.3068465071587021e+17
-70,18701747.507501986,9.1544065367627411e-05,18701747.507410441,204292298276.22946,44196600202430632.0
-60,18648814.850055449,9.0996445477949364e-05,18648814.849964451,204940036416.8566,24382273220983928.0
-50,18599742.717712697,9.0452101470136161e-05,18599742.717622247,205630852300.91226,9953518359888290.0
-40,18555134.256925602,8.991101374774471e-05,18555134.256835688,206372206067.92487,18973173633872748.0
-30,18515696.466287464,8.937316283155858e-05,18515696.46619809,207172890380.79541,65099191678304528.0
-20,18482258.389654718,8.88385293588867e-05,18482258.389565885,208043272699.73999,29950792899666632.0
-10,18455792.582556807,8.8307094082866342e-05,18455792.582468491,208995582679.21381,2.9082917889940238e+19
0,18437440.461670324,8.7778837871770106e-05,18437440.461582545,210044253360.97839,1.980983029721608e+17
10,18428542.265649486,8.7253741708317377e-05,18428542.265562229,211206326569.40601,1.0130252229550268e+18
20,18430672.498277243,8.673178668898958e-05,18430672.498190511,212501935009.91235,8.4569765865992461e+17
30,18445681.896900315,8.6212954023349626e-05,18445681.8968141,213954876107.18631,8.0336246302744453e+18
40,18475747.176761094,8.5697225033365507e-05,18475747.176675402,215593295693.85376,5.4055469131203686e+17
50,18523430.052894674,8.5184581152737902e-05,18523430.052809484,217450503391.9429,8.4416870319046451e+17
60,18591747.345230587,8.4675003926231774e-05,18591747.345145907,219565946066.29807,1.1635620038779677e+19
70,18684254.341114625,8.4168475009011859e-05,18684254.341030449,221986371252.58719,4.6248874012755753e+18
80,18805144.03702037,8.3664976165982537e-05,18805144.036936704,224767219197.10992,5.7356726391535002e+17
90,19070527.608628973,8.3164489271130953e-05,19070527.60854581,229310944800.67896,2.6190180802149715e+17
100,22036426.387862131,8.2666996306874943e-05,22036426.387779467,266568611082.21359,2.758820602755351e+17
-150,11821123092.613049,0.0064027980283356345,11821123092.606646,1846243320544.9517,1.686280774679032e+17
-140,11769576487.155209,0.006669434586888962,11769576487.14854,1764703789177.6172,1.3202233217340478e+17
-130,11734115924.986856,0.0069471748932167076,11734115924.979908,1689048585266.5325,28917569110182220.0
-120,11714200104.46998,0.0072364813490814264,11714200104.462744,1618770164585.1599,14908283352582054.0
-110,11709337502.03265,0.007537835612391834,11709337502.025112,1553408445626.3635,34024512733145248.0
-100,11719085664.444744,0.007851739399101056,11719085664.436892,1492546437008.1438,33988157826670508.0
-90,11743050816.359158,0.0081787153184989213,11743050816.350979,1435806279966.5237,9811474411420908.0
-80,11780887803.474792,0.0085193077432889949,11780887803.46627,1382845667566.719,72048861153568592.0
-70,11832300395.808573,0.0088740837158988624,11832300395.799698,1333354605908.1853,61705554428277528.0
-60,11897041980.195105,0.0092436338925325767,11897041980.18586,1287052485906.6597,71231637416882992.0
-50,11974916676.337658,0.0096285735265370046,11974916676.32803,1243685437238.8572,2.6364755041897376e+17
-40,12065780916.596941,0.010029543492719251,12065780916.586912,1203023938762.1035,2.8090276986522032e+17
-30,12169545536.318932,0.010447211354320494,12169545536.308485,1164860662198.2581,2.6101450845221919e+18
-20,12286178428.97838,0.010882272474422605,12286178428.967501,1129008528122.7314,2.1998801476605677e+17
-10,12415707828.872616,0.011335451173637942,12415707828.86128,1095298955347.0046,3.6688643080044047e+18
