voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-50,-0.022801244229788208,-32670.178159762363,-11649.151466991874,-32670.178159763575,-50,142683434.73031145,47634.372316165412,142635800.3579953,2995.3881575949677,24725846290140440.0,6.417394615709782e-09,5.558831617236137e-09,3.6670826375484467e-09,1.5057399771478686e-15,417303.22410754254,6.5138612899560761e-09,6.4768797862845749e-09,1.961416273843497e-08,-50,-0.022801244229789276,-0.022801244229788208,-0.022801244229789713,-32670.17815976878,-32670.178159762363,-32670.178159763687,-11649.151466988871,-11649.151466991874,-11649.15146699443,-32670.178159762,-32670.178159763575,-32670.178159765666
-40,-0.01703818305325531,-24181.697926587403,-9628.907752175204,-24181.697926586265,-40,132901705.80709332,54443.017711476496,132847262.78938185,2441.1157094820237,35841963508553720.0,8.731149137020111e-09,2.6193447411060333e-09,5.4678821470588446e-09,3.5318969970887792e-15,500934.34390519833,2.3354346892125316e-09,1.0539584534372654e-08,2.721753844525665e-08,-40,-0.017038183053254566,-0.01703818305325531,-0.017038183053258098,-24181.697926581255,-24181.697926587403,-24181.697926589986,-9628.907752173895,-9628.907752175204,-9628.907752176514,-24181.697926590743,-24181.697926586265,-24181.697926591733
-30,-0.012038926031330752,-16924.91753241644,-7449.680877392882,-16924.91753241631,-30,125467256.75111784,62224.860608192641,125405031.89050965,2016.3525562739242,3.5917305672844429e+17,3.8708094507455826e-09,6.082700565457344e-09,7.159542292356491e-09,1.9914625504213745e-15,611695.41566216527,3.5110447105412456e-10,9.7186273893601656e-09,3.0530827643815428e-08,-30,-0.012038926031332317,-0.012038926031330752,-0.012038926031330326,-16924.91753242031,-16924.91753241644,-16924.917532418214,-7449.680877387029,-7449.680877392882,-7449.680877393112,-16924.91753242025,-16924.91753241631,-16924.917532413092
-20,-0.007659172282060629,-10679.234224549218,-5093.127284453969,-10679.234224549107,-20,120248782.00473881,71119.005530305265,120177662.9992085,1690.8107911252828,75671462229810480.0,1.469743438065052e-09,2.0372681319713593e-09,8.531060302630067e-10,8.326672684688674e-17,749525.1660361645,2.9524983426654298e-09,3.5360219468062364e-09,1.1540578270796686e-08,-20,-0.007659172282060549,-0.007659172282060629,-0.007659172282060632,-10679.23422454868,-10679.234224549218,-10679.234224547748,-5093.127284453192,-5093.127284453969,-5093.1272844552295,-10679.234224549786,-10679.234224549107,-10679.23422454996
-10,-0.0037165064237544548,-5152.70213932273,-2588.3576334360023,-5152.702139322736,-10,117154114.0473401,81284.439984003038,117072829.60735609,1441.2858607427977,2.2192352408212435e+17,2.710294211283326e-09,4.269168130122125e-09,9.576979209668934e-10,7.428953285870676e-16,893254.52904985368,7.5068669196837414e-10,5.3796767676780495e-09,1.5565092326141894e-08,-10,-0.003716506423754797,-0.0037165064237544548,-0.0037165064237551977,-5152.702139324974,-5152.70213932273,-5152.70213932544,-2588.357633431733,-2588.3576334360023,-2588.357633434003,-5152.702139323694,-5152.702139322736,-5152.702139323344
0,-5.828042048960924e-18,-2.637534635141492e-11,-2.9103830456733704e-11,2.2737367544323206e-11,0,116128595.55343381,92902.876442747045,116035692.67699106,1250.0,1.268199048315245e+17,2.3283064365386963e-09,1.979060471057892e-09,2.3283064365386963e-09,3.601729986257851e-16,966341.89872568776,1.5659285278550802e-09,2.4829720067100515e-09,8.1536200013943017e-09,0,3.7299469113349907e-17,-5.828042048960924e-18,3.543449565768242e-16,-3.4924596548080444e-10,-2.637534635141492e-11,1.979060471057892e-09,-1.1641532182693481e-10,-2.9103830456733704e-11,1.862645149230957e-09,5.238689482212067e-10,2.2737367544323206e-11,-1.8044374883174896e-09
10,0.0037165064237544847,5152.702139322668,2588.357633435905,5152.70213932294,10,117154114.04734012,81284.439984003053,117072829.60735612,1441.2858607427977,23378122275769540.0,3.587047103792429e-09,1.3778844731859863e-09,6.693881005048752e-09,1.1006820455072841e-15,893254.52904985193,1.1858812596659814e-09,8.8788739592604094e-09,2.5823283067438751e-08,10,0.003716506423755282,0.0037165064237544847,0.003716506423754181,5152.702139323344,5152.702139322668,5152.702139326255,2588.357633434527,2588.357633435905,2588.3576334352256,5152.70213932544,5152.70213932294,5152.702139318746
20,0.007659172282060649,10679.234224549049,5093.127284453915,10679.234224549366,20,120248782.00473882,71119.005530305265,120177662.99920851,1690.810791125283,1.2839921293048638e+17,6.344635039567947e-09,1.3724275049753487e-09,5.180481821298599e-09,4.570996359198887e-16,749525.16603616229,7.7133145875866696e-09,8.512606301228542e-09,2.3939719540067017e-08,20,0.007659172282060447,0.007659172282060649,0.007659172282060904,10679.234224546235,10679.234224549049,10679.23422455258,5093.127284454764,5093.127284453915,5093.127284455288,10679.234224551124,10679.234224549366,10679.234224545944
30,0.01203892603133095,16924.917532416646,7449.680877392613,16924.917532416857,30,125467256.75111784,62224.860608192655,125405031.89050965,2016.3525562739237,25114907840878124.0,1.393345883116126e-09,1.7171259969472885e-09,2.077285898849368e-09,3.5735303605122226e-16,611695.41566215153,5.7932489866588499e-09,3.6005331907548173e-09,1.0855728760361671e-08,30,0.012038926031331016,0.01203892603133095,0.012038926031330659,16924.91753241804,16924.917532416646,16924.917532417574,7449.680877391365,7449.680877392613,7449.6808773930825,16924.917532416293,16924.917532416857,16924.91753241478
40,0.01703818305325533,24181.69792658687,9628.907752175208,24181.69792658685,40,132901705.80709335,54443.017711476503,132847262.78938188,2441.1157094820237,69159131407602520.0,6.984919309616089e-10,2.0118022803217173e-09,5.165929906070232e-10,8.326672684688674e-17,500934.3439052027,4.1106860311630688e-10,2.1274681087276849e-09,7.07223080098629e-09,40,0.017038183053255246,0.01703818305325533,0.017038183053255274,24181.697926586494,24181.69792658687,24181.697926587192,9628.907752175,9628.907752175208,9628.907752173196,24181.697926587076,24181.69792658685,24181.697926587367
50,0.02280124422978856,32670.178159763524,11649.151466991583,32670.178159763665,50,142683434.73031151,47634.37231616542,142635800.35799536,2995.3881575949686,30193917453911000.0,4.58749127574265e-09,2.852175384759903e-09,2.88855517283082e-09,3.7470027081099033e-16,417303.2241075341,2.6353655392600449e-09,6.6338102140413668e-09,1.5403202269226313e-08,50,0.02280124422978893,0.02280124422978856,0.022801244229788555,32670.17815976811,32670.178159763524,32670.178159763833,11649.151466990472,11649.151466991583,11649.151466993324,32670.178159760777,32670.178159763665,32670.178159762465
60,0.02942992966367358,42531.485247274344,13581.485126215619,42531.48524727571,60,154985206.20450804,41677.216314127247,154943528.9881939,3718.7034046698795,67842787320256328.0,2.321030478924513e-09,1.0186340659856796e-09,3.965396899729967e-09,4.822531263215524e-16,355530.54316884466,3.6595585390743727e-09,5.6951195854797153e-09,1.8193532014265656e-08,60,0.029429929663673096,0.02942992966367358,0.029429929663673214,42531.48524727597,42531.485247274344,42531.485247276665,13581.485126215615,13581.485126215619,13581.485126216634,42531.48524727259,42531.48524727571,42531.48524727175
70,0.03698598613081007,53831.83891563407,15546.465378721836,53831.838915635715,70,170024291.3349517,36465.062416810324,169987826.27253488,4662.6628357715581,13021817626174064.0,4.94765117764473e-09,8.993083611130714e-09,7.508788257837296e-09,1.6375789613221059e-15,310067.69527597108,1.770797878359617e-08,1.4349565966016032e-08,4.6686182031407952e-08,70,0.03698598613081015,0.03698598613081007,0.036985986130808515,53831.83891563816,53831.83891563407,53831.83891563321,15546.465378719848,15546.465378721836,15546.46537872884,53831.83891563286,53831.838915635715,53831.83891562821
80,0.045501566518278816,66582.13495577549,17701.213724207686,66582.13495577489,80,188066307.04156131,31904.740639099422,188034402.30092221,5894.6195228142706,6.2630711309181248e+17,2.1245796233415604e-09,1.8917489796876907e-09,2.7794158086180687e-09,3.2612801348363973e-16,276512.00098487205,7.2675158596577825e-09,4.8917275473281628e-09,1.5497789718210697e-08,80,0.045501566518279024,0.045501566518278816,0.04550156651827914,66582.13495577336,66582.13495577549,66582.13495577534,17701.213724207715,17701.213724207686,17701.213724205823,66582.13495577767,66582.13495577489,66582.134955777
90,0.054997875467788004,80772.48695658337,20217.639363369686,80772.48695657577,90,209429907.32486618,27914.732836956468,209401992.59202921,7502.4865381337549,26958623951767264.0,8.032657206058502e-09,3.8853613659739494e-09,9.866198524832726e-09,1.942890293094024e-16,251758.56108034274,1.3190912085880592e-08,1.7336293625606906e-08,5.0479684432502836e-08,90,0.05499787546778781,0.054997875467788004,0.05499787546778783,80772.48695658456,80772.48695658337,80772.48695657653,20217.639363369322,20217.639363369686,20217.6393633658,80772.48695657414,80772.48695657577,80772.486956584
100,0.06550961952042332,96417.03840152117,23255.813437750006,96417.0384015243,100,234492411.2608878,24423.715527832952,234467987.54535997,9601.0130397098364,14619957104338416.0,2.4112523533403873e-08,7.796188583597541e-09,3.007880877703428e-08,1.3739009929736312e-15,233736.42356099124,4.8219292488566808e-09,2.4450990477463547e-08,6.9030647864565253e-08,100,0.06550961952042322,0.06550961952042332,0.06550961952042195,96417.03840149706,96417.03840152117,96417.03840151938,23255.813437750214,23255.813437750006,23255.813437757803,96417.038401548,96417.0384015243,96417.03840151792
