voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.036287986367913576,-0.006050525886075142,-0.006321156789558907,-113258.37520810164,-150,168230404240.14157,0.010454841432406244,168230404240.1311,16091148328533.027,4.9350745881889901e+17,3.8858059674823364e-07,2.0420928060257276e-07,4.5086198952049017e-07,8.066464163292153e-14,124983.62914433582,-2.5780173018574715e-07,5.4006947225575507e-07,9.0175006373202642e-07,-150,-0.036287986367880845,-0.036287986367913576,-0.03628798636783291,-0.006050336367218918,-0.006050525886075142,-0.006050724947815667,-0.006321360998839509,-0.006321156789558907,-0.0063211568631231785,-113258.3752080869,-113258.37520810164,-113258.37520765078
-140,-0.03138462137827074,-0.005241076532498258,-0.005833970580525075,-97954.49052567956,-140,157504979217.18167,0.010392300195147183,157504979217.17126,15155930473479.838,3.1070235815449062e+17,1.0180655869874294e-06,5.27876309960526e-07,3.375025698915124e-07,1.403460681004276e-13,146665.92181694167,-7.0245005190372467e-07,6.3691236447456318e-07,1.0695222226054185e-06,-140,-0.03138462137818615,-0.03138462137827074,-0.0313846213783265,-0.005240569907640281,-0.005241076532498258,-0.0052415879732272685,-0.0058344984568350355,-0.005833970580525075,-0.0058339707320556045,-97954.49052565823,-97954.49052567956,-97954.49052534206
-130,-0.02710548601856599,-0.004534509829942777,-0.005217421443026243,-84598.88804581188,-130,147469453430.08176,0.010330133081817518,147469453430.07144,14275658625313.227,3.2049805125019373e+17,2.4002397807851295e-07,1.2584425945760813e-07,1.0346411727368832e-08,5.758241106157413e-14,169494.00609378814,-1.5646219253540039e-07,1.6610133845477212e-07,2.5447935377694067e-07,-130,-0.02710548601858617,-0.02710548601856599,-0.027105486018528586,-0.0045346253277487834,-0.004534509829942777,-0.004534385303770705,-0.005217295722808046,-0.005217421443026243,-0.005217421567067504,-84598.88804582223,-84598.88804581188,-84598.8880458196
-120,-0.0233664034052283,-0.003918061827445817,-0.004369641749988527,-72928.84347648153,-120,138079514321.50046,0.010268337854394453,138079514321.4902,13447114448265.621,3.5566555151999853e+17,1.0383417963985564e-06,5.319571201312101e-07,2.989982021972537e-07,1.573775831875679e-13,191119.80651512882,-7.2372495196759701e-07,6.3836405312236317e-07,1.0722367083010879e-06,-120,-0.023366403405313516,-0.0233664034052283,-0.02336640340515614,-0.003918575940051593,-0.003918061827445817,-0.003917537598255194,-0.004369109813488592,-0.004369641749988527,-0.004369641770608723,-72928.84347649936,-72928.84347648153,-72928.84347678053
-110,-0.020092803717905876,-0.003380475364101775,-0.0030812775437797403,-62711.61716972818,-110,129293696222.47606,0.010206912288243126,129293696222.46585,12667268275774.598,1.194911414698857e+18,1.9130386476502725e-07,8.623925396022969e-08,5.52681740373373e-08,6.062858548538941e-14,207625.17894390892,1.4284159988164902e-07,1.8102991989331927e-07,3.114018057344704e-07,-110,-0.020092803717892092,-0.020092803717905876,-0.02009280371795272,-0.003380375091030603,-0.003380475364101775,-0.003380566394895368,-0.003081363601324938,-0.0030812775437797403,-0.0030812773620709777,-62711.61716974239,-62711.61716972818,-62711.61716978345
-100,-0.017216625979823846,-0.002910488810468422,-0.0008956585644732395,-53734.78434400352,-100,121073197459.29843,0.010145854172036527,121073197459.28828,11933268052777.07,4.0295866923033715e+17,1.5398917746793292e-07,6.327858415033916e-08,1.715161488391459e-07,8.760700498378071e-14,214163.96367850568,1.1993688531219959e-07,3.0533092838583529e-07,5.1429256181719908e-07,-100,-0.017216625979813705,-0.017216625979823846,-0.017216625979901312,-0.002910405123038581,-0.002910488810468422,-0.002910559112216049,-0.0008957217865273037,-0.0008956585644732395,-0.0008956585079431534,-53734.78434402395,-53734.78434400352,-53734.78434417504
-90,-0.014673088524141075,-0.002499338693380466,0.0032339863776118883,-45796.15556004237,-90,113381709210.0881,0.010085161307675873,113381709210.07802,11242428926128.594,1.6099142676567306e+18,4.932948575410087e-07,2.473194587260599e-07,1.8327409634366632e-07,6.251769935072815e-14,207226.58452190753,3.3501419238746166e-07,3.0680371891321333e-07,5.0963085872437483e-07,-90,-0.014673088524101464,-0.014673088524141075,-0.014673088524163982,-0.002499100145269971,-0.002499338693380466,-0.002499593440127512,0.003233739058153162,0.0032339863776118883,0.0032339863246306777,-45796.155560033636,-45796.15556004237,-45796.15555985909
-80,-0.01239751144962467,-0.0021382646037128687,0.011779444682292008,-38693.85971158468,-80,106185255356.24031,0.010024831510211496,106185255356.23029,10592223445159.937,5.7565235603991917e+17,4.6025356835064854e-07,2.2824505877677703e-07,1.233565853908658e-07,1.4947244830754158e-13,187476.07217412759,3.2642856240272522e-07,4.3710372950135143e-07,7.1192343865783767e-07,-80,-0.012397511449588106,-0.01239751144962467,-0.012397511449737579,-0.0021380332515888068,-0.0021382646037128687,-0.0021384935051571574,0.01177921643723323,0.011779444682292008,0.011779444408603013,-38693.859711587786,-38693.85971158468,-38693.859711708035
-70,-0.01032346332517547,-0.001818561121304494,0.030588112307927573,-32220.560682659416,-70,99452042622.38562,0.0099648626077641668,99452042622.375656,9980272336609.752,5.0801831895333304e+18,1.4012273220973936e-06,7.053257959910297e-07,2.157175913453102e-07,2.707816609825997e-13,160198.90945377521,-9.6828443929553032e-07,8.75487018972551e-07,1.4175433204160236e-06,-70,-0.01032346332528843,-0.01032346332517547,-0.010323463325017648,-0.0018192539986680376,-0.001818561121304494,-0.0018178527713459403,0.03058881751523046,0.030588112307927573,0.03058811218943447,-32220.560682671705,-32220.560682659416,-32220.560682875133
-60,-0.008386130975956212,-0.001533075400311834,0.07301012728228196,-26173.976844510747,-60,93152320343.896347,0.009905252441446924,93152320343.886444,9404335820267.998,1.340751379297983e+18,3.2431700332734813e-07,1.5179555390432142e-07,3.335408109705895e-07,5.153343030084301e-14,132378.85366777424,2.2116000764071941e-07,4.0922812555352729e-07,6.9908477657893796e-07,-60,-0.008386130975931955,-0.008386130975956212,-0.008386130975904679,-0.0015329154423577107,-0.001533075400311834,-0.001533239759361038,0.07300997584663804,0.07301012728228196,0.07301012764219195,-26173.97684451928,-26173.976844510747,-26173.976844185738
