voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-50,-0.010834698959558305,-19801.490559894395,-23915.41876361805,-50,134142630.80330478,62274.660413945494,134080356.14289083,2154.0483707441545,1.3574273409408541e+17,2.8900103643536568e-08,8.993083611130714e-09,1.835337437583462e-15,4.3551198170995869e-08,-58474.28208136047,1.0760463304222154e-08,6.7454566876623545e-08,-50,-0.010834698959558384,-0.010834698959558305,-0.010834698959557066,-0.010834698959556549,-0.010834698959556636,-19801.490559898462,-19801.490559894395,-19801.49055988365,-19801.49055987227,-19801.490559869562,-23915.418763616268,-23915.41876361805,-23915.418763619557,-23915.41876362363,-23915.41876362526
-40,-0.008191400097401304,-16111.78876837325,-17510.273210698844,-40,130574413.91451497,67461.334270276828,130506952.58024469,1935.5444911804168,5.4181500464586694e+17,1.1088559404015541e-08,7.945345714688301e-09,1.1275702593849246e-15,-2.8423532339712553e-08,-52600.746497930268,9.3932180475333021e-09,5.5467945681009212e-08,-40,-0.008191400097401462,-0.008191400097401304,-0.008191400097402017,-0.008191400097401783,-0.00819140009740089,-16111.788768373168,-16111.78876837325,-16111.788768375409,-16111.788768379358,-16111.788768384256,-17510.27321069938,-17510.273210698844,-17510.27321069999,-17510.273210697284,-17510.273210692045
-30,-0.005816899384700176,-12267.380758584779,-12021.42630204399,-30,127822409.11601456,73079.990983088384,127749329.12503147,1749.0753268646988,1.3994882881250747e+17,2.2031599655747414e-08,4.623871063813567e-09,2.802445775440532e-15,-1.9435404758941224e-08,-47682.72676394922,1.0927274639916157e-08,6.8800948049840827e-08,-30,-0.00581689938470068,-0.005816899384700176,-0.005816899384701892,-0.005816899384702508,-0.005816899384702978,-12267.380758583342,-12267.380758584779,-12267.380758593645,-12267.380758603998,-12267.380758605374,-12021.426302046282,-12021.42630204399,-12021.426302044914,-12021.426302041658,-12021.42630204244
-20,-0.0036997856432099017,-8274.03712753988,-7410.377326398295,-20,125869104.63253036,79166.60913778223,125789938.02339257,1589.9266875693352,98642879509040064.0,1.8801074475049973e-08,1.2514647096395493e-09,3.039235529911366e-15,-4.2819732681665758e-09,-43938.679769239978,1.0805426506387295e-08,6.7399712921911714e-08,-20,-0.003699785643208886,-0.0036997856432099017,-0.003699785643210909,-0.0036997856432118446,-0.0036997856432119253,-8274.037127534917,-8274.03712753988,-8274.037127545045,-8274.037127551666,-8274.037127553718,-7410.377326397604,-7410.377326398295,-7410.377326398855,-7410.377326398464,-7410.377326397691
-10,-0.0017907816580390726,-4167.17606925681,-3505.6181390266283,-10,124702071.4141982,85760.163870637698,124616311.25032757,1454.0792109761035,3.7503058807412749e+17,2.60770320892334e-08,2.6280758902430534e-08,5.983494949513002e-15,-1.587025105729177e-08,-41582.74874749266,1.2389044044248927e-08,6.6645274632293194e-08,-10,-0.0017907816580412703,-0.0017907816580390726,-0.001790781658037391,-0.0017907816580352868,-0.0017907816580375498,-4167.1760692500975,-4167.17606925681,-4167.17606925749,-4167.176069265308,-4167.1760692761745,-3505.618139036844,-3505.6181390266283,-3505.6181390210404,-3505.618139010563,-3505.618139012193
0,2.558510459493845e-16,3.168679540976882e-09,-7.8580342233181e-10,0,124313883.6742551,92902.876442747045,124220980.79781236,1338.1058631792268,77064763811668480.0,1.3853423297405243e-08,1.4784745872020721e-08,3.0492316000163552e-15,-5.309924538453481e-09,-40777.096110224724,1.1474153686467926e-08,6.7643094681102411e-08,0,-5.221925675868988e-16,2.558510459493845e-16,-1.053710002452135e-15,-1.1248121154494586e-16,1.9955215975642202e-15,4.889443516731262e-09,3.168679540976882e-09,3.4924596548080444e-10,-2.841261448338628e-09,-8.96397978067398e-09,-4.0745362639427185e-09,-7.8580342233181e-10,-3.4633558243513107e-09,1.0695657692849636e-09,1.0710209608078003e-08
10,0.0017907816580382207,4167.1760692489515,3505.618139027898,10,124702071.4141982,85760.163870637698,124616311.25032757,1454.0792109761035,3.8900688328186438e+17,3.4546246752142906e-08,1.132139004766941e-08,2.312603233911581e-15,3.2568765445613029e-08,-41582.74874748716,1.1428378475689562e-08,7.5874480032211977e-08,10,0.0017907816580384076,0.0017907816580382207,0.0017907816580380019,0.0017907816580398075,0.0017907816580403145,4167.176069241599,4167.1760692489515,4167.176069260953,4167.176069271314,4167.176069276145,3505.618139032158,3505.618139027898,3505.618139021215,3505.61813902167,3505.6181390208367
20,0.0036997856432096155,8274.03712755103,7410.377326391825,20,125869104.63253038,79166.609137782245,125789938.02339259,1589.9266875693349,4.4380747869228787e+17,2.3952452465891838e-08,7.974449545145035e-09,5.049346357699491e-15,-3.3539614818557537e-08,-43938.679769257869,1.2821955283084962e-08,7.6402533188968391e-08,20,0.003699785643211702,0.0036997856432096155,0.0036997856432097157,0.0036997856432102834,0.0036997856432066526,8274.037127556978,8274.03712755103,8274.037127545977,8274.037127539741,8274.037127533025,7410.377326395363,7410.377326391825,7410.377326394664,7410.377326399554,7410.377326391579
30,0.005816899384702787,12267.380758598298,12021.426302045382,30,127822409.11601456,73079.990983088399,127749329.12503147,1749.0753268646984,1.4857475164975379e+17,1.4493707567453384e-08,7.770722731947899e-09,1.618497003086361e-15,-1.2997253630515901e-08,-47682.726763953593,8.3562197127726474e-09,5.3397128163545915e-08,30,0.005816899384701794,0.005816899384702787,0.005816899384701169,0.005816899384701445,0.005816899384701962,12267.38075860124,12267.380758598298,12267.380758594547,12267.380758589854,12267.380758586747,12021.42630204081,12021.426302045382,12021.426302042208,12021.426302045413,12021.426302048581
40,0.008191400097400398,16111.788768379689,17510.2732106928,40,130574413.914515,67461.334270276857,130506952.58024472,1935.5444911804163,1.2532416629200581e+18,1.1816155165433884e-08,4.8348738346248865e-09,3.0773994463828558e-15,-3.7207610028216402e-09,-52600.746497925247,1.3444508345913399e-08,8.3597657019041094e-08,40,0.008191400097401942,0.008191400097400398,0.00819140009740136,0.008191400097401078,0.008191400097398865,16111.788768381288,16111.788768379689,16111.788768376486,16111.788768374263,16111.788768369472,17510.273210696818,17510.2732106928,17510.2732106974,17510.273210697636,17510.27321069312
50,0.010834698959559316,19801.490559889913,23915.418763623446,50,134142630.80330479,62274.660413945508,134080356.14289084,2154.048370744154,1.5670893856800402e+18,6.730260793119669e-09,1.8528226064518094e-08,6.7220534694101275e-15,1.1704350670853607e-08,-58474.282081350124,1.4010782140326113e-08,8.2736429152241442e-08,50,0.010834698959557803,0.010834698959559316,0.010834698959553597,0.010834698959552594,0.010834698959553262,19801.49055989174,19801.490559889913,19801.49055988586,19801.49055988501,19801.490559888654,23915.41876361781,23915.418763623446,23915.418763607624,23915.418763604917,23915.41876360518
60,0.013729289026157427,23366.74960032212,31167.090325174235,60,138549766.24146914,57486.756993789844,138492279.48447534,2410.1162334907212,1.5344530643494541e+17,1.0440999176353216e-08,1.074658939614892e-08,4.963043864769645e-15,-1.3251449557704282e-08,-65104.163567305106,1.3531148518410876e-08,7.9488668647265115e-08,60,0.013729289026158853,0.013729289026157427,0.013729289026155889,0.01372928902615389,0.013729289026154206,23366.74960032117,23366.74960032212,23366.749600316107,23366.74960031168,23366.749600313575,31167.09032517916,31167.090325174235,31167.090325172438,31167.090325168414,31167.09032516845
70,0.016839622301534407,26869.264644437877,39123.489717526405,70,143823866.54303631,53066.965081723654,143770799.57795459,2710.233500663664,2.2904234118342666e+17,2.412707544863224e-08,1.1612428352236748e-08,3.247402347028583e-15,3.0863858463256578e-08,-72310.168216095713,1.1025012057333644e-08,6.9038907701823859e-08,70,0.01683962230153747,0.016839622301534407,0.016839622301535982,0.016839622301537654,0.016839622301537613,26869.264644436713,26869.264644437877,26869.264644447903,26869.26464445539,26869.26464446084,39123.48971753655,39123.489717526405,39123.4897175263,39123.48971752778,39123.489717524935
80,0.02012408863999426,30386.547994116907,47615.99142115085,80,149998497.19006395,48986.982920067931,149949510.20714387,3062.0072568015985,2.033869267800951e+17,1.890293788164854e-08,7.807102520018816e-09,4.548444954011188e-15,-4.3954960515776102e-08,-79925.893559512464,1.5521342542671193e-08,9.7268896048774423e-08,80,0.02012408863999691,0.02012408863999426,0.020124088639994615,0.020124088639993695,0.020124088639992363,30386.547994117835,30386.547994116907,30386.547994106833,30386.547994101296,30386.54799409893,47615.99142115866,47615.99142115085,47615.991421157,47615.9914211569,47615.991421153914
90,0.02354635853874489,33991.620822789206,56494.69688805886,90,157112957.43544888,45220.684693677635,157067736.75075522,3474.3604281917264,3.6150634256791814e+17,1.3547833077609539e-08,6.111804395914078e-09,1.0477729794899915e-15,3.8200069795405228e-11,-87808.3094330483,1.0693080927283774e-08,7.0094925003205688e-08,90,0.023546358538745597,0.02354635853874489,0.023546358538745683,0.023546358538745406,0.023546358538744636,33991.62082279002,33991.620822789206,33991.62082278346,33991.62082278021,33991.62082277647,56494.69688806066,56494.69688805886,56494.69688806421,56494.69688806497,56494.69688806444
100,0.027083360474673506,37736.96438907273,65661.35698983788,100,165212531.56912267,41743.953235529763,165170787.61588714,3957.7595978261206,6.2305264449315712e+17,1.862645149230957e-09,1.335865817964077e-08,4.371503159461554e-15,3.4195407902736531e-08,-95863.051765201613,1.1493035342256335e-08,6.1028275988306291e-08,100,0.027083360474670005,0.027083360474673506,0.027083360474673482,0.027083360474674377,0.027083360474672972,37736.964389073895,37736.96438907273,37736.96438907395,37736.964389074485,37736.964389074594,65661.35698982637,65661.35698983788,65661.3569898372,65661.35698983973,65661.35698983527
