voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3","current, barrier 4",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_2 transport over barrier 4,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3,solute_1 transport over barrier 4
-40,1.1682145028232502e-05,-0.00010169801336766575,24.307519567827146,-40,70787549184068.219,0.0002689217499948641,70787549184068.219,2.6322731123615002e+17,2.8110561039714157e+17,0.001707411030310566,0.04526888912132776,2.17682128543054e-08,0.0083886872411279151,-0.71368156587428888,0.093574202885348998,0.1744256877280678,-40,1.1703913241086807e-05,1.1682145028232502e-05,1.1686090002278492e-05,1.168633207426668e-05,1.1685321938578661e-05,-7.676097093067824e-05,-0.00010169801336766575,0.0016057130169429001,-5.8427729730891966e-05,0.000276949456383041,24.352788456948474,24.307519567827146,24.314020592181752,24.31618841996169,24.313751220703125
-30,1.8926749109089147e-05,0.00039857603516177,39.3811018590234,-30,66577470698442.437,0.00025265386894350215,66577470698442.437,2.635125714751288e+17,1.1420558688426772e+18,0.0032773779746850806,0.06422789521158734,3.1240675441673545e-08,0.017653827320597615,-0.68050917105773323,0.077130372331352726,0.14345281668897084,-30,1.895798978453082e-05,1.8926749109089147e-05,1.8931662658219572e-05,1.8934446000159058e-05,1.893318054270445e-05,0.001174166969379442,0.00039857603516177,-0.0021032110053056385,0.0003268979835491728,-0.0011135662750754727,39.44532975423499,39.3811018590234,39.393827427026054,39.39718870784054,39.39599609375
-20,3.033571716897208e-05,0.00018511310721715566,63.120325017920834,-20,62632143800783.367,0.00023737008067714675,62632143800783.367,2.6385862793706922e+17,3.5233774890431597e+17,0.0034637894602126407,0.03458097170732799,1.5267014542704675e-08,0.018305740312803187,-0.64287441651051658,0.034771668187600399,0.06926133499589486,-20,3.032916642921377e-05,3.033571716897208e-05,3.0342722284443537e-05,3.0344433443756476e-05,3.034280394817101e-05,0.002962165416285245,0.00018511310721715566,0.0009448881737625925,0.0001477657911501934,-0.0005016240439273956,63.103917629036005,63.120325017920834,63.134141013706255,63.13849860074333,63.13575744628906
-10,4.772969947098482e-05,-0.00011016078300937747,99.31284314244097,-10,58936960244510.258,0.00022301085447963112,58936960244510.258,2.6427843784569379e+17,1.4712300072566684e+18,0.0019906466187719907,0.042362355557997944,1.9409988677821595e-08,0.034123135012240333,-0.60978041664941762,0.035030563537238532,0.082112833116156789,-10,4.772721652597685e-05,4.772969947098482e-05,4.774163847976445e-05,4.774662651465467e-05,4.7742041035590946e-05,0.001880485835762613,-0.00011016078300937747,0.0003439202696426946,-9.487705094957951e-05,0.00047607385325199036,99.30568615165248,99.31284314244097,99.33723094399264,99.34804850721048,99.33793640136719
0,7.303838847483197e-05,0.0001252283660956966,151.9732174158952,0,55478392145141.023,0.00020952026082587681,55478392145141.023,2.6478771993915523e+17,3.2162888958793498e+17,0.003755466665079679,0.020099734300742966,9.631418469748508e-09,-0.020293894843113058,-0.58339592921542016,0.020999595271250494,0.069933470036894346,0,7.303466391805156e-05,7.303838847483197e-05,7.303184540765936e-05,7.302875705636223e-05,7.3031436988497e-05,-0.003570908637757775,0.0001252283660956966,-0.0006195004425535444,0.00018455802732190432,-0.000655230114133265,151.96916374686407,151.9732174158952,151.96034777272587,151.95311768159445,151.95953369140625
10,0.00010914260888053912,2.5020613158734226e-05,227.09653944159894,10,52243954107981.117,0.00019684575353507279,52243954107981.117,2.6540554301910611e+17,1.4996272988230534e+17,0.0011203443828842197,0.025088102077489793,1.1958469773733324e-08,-0.026187778634416278,-0.5540769932485885,0.039069233294998021,0.1179942677889159,10,0.00010913065041076539,0.00010914260888053912,0.00010913568492184306,0.00010913079089562085,0.00010913405484490675,0.0002307469650029148,2.5020613158734226e-05,-0.0008895974178813049,0.0001867188826477665,-0.00039679468757647385,227.07145133952145,227.09653944159894,227.08304715431146,227.07178767899677,227.07916259765625
20,0.00015874459356444423,-1.7061754695410584e-05,330.3050390435363,20,49222171487156.633,0.00018493796510206051,49222171487156.633,2.6615503993456787e+17,1.5842916054667702e+17,0.006763914523399528,0.18475420879622106,9.04933825676918e-08,0.148412642610941,-0.52060550774232162,0.15193534655920682,0.34323838381634209,20,0.0001587227351141028,0.00015874459356444423,0.00015877600236735966,0.0001588132284966705,0.00015878637196761164,-0.0035361777006626127,-1.7061754695410584e-05,0.003227736822736915,2.1282090887139032e-06,0.00260839789762346,330.2630765732538,330.3050390435363,330.36714755938965,330.44783078205,330.38934326171875
30,0.00022020999966944712,0.0003244665191651555,458.19776057186436,30,46402554941736.336,0.0001737505144097357,46402554941736.336,2.6706427373395034e+17,8.5726104163979942e+17,0.01672425494698837,0.1283491506219434,6.167202743241206e-08,-0.050636602972661315,-0.48857750897431845,0.08066769515550333,0.18781688950340081,30,0.00022023999860935688,0.00022020999966944712,0.0002201988279267433,0.00022017832658192447,0.00022018696570222498,0.00025170484700876017,0.0003244665191651555,0.015331478051848535,0.000277868718200811,-0.0013927768951398356,458.2602531003067,458.19776057186436,458.1595081531244,458.1319039496848,458.15155029296875
40,0.000299197118686877,0.0007505949578985924,622.5483935724932,40,43775581519651.836,0.00016323982607350216,43775581519651.836,2.681672884161305e+17,6.8935593732886938e+17,0.006158619132497156,0.0711925523228274,3.4119528359805116e-08,0.033844996472946198,-0.45651302253446208,0.044072487358698342,0.147535034892355,40,0.0002991784356454291,0.000299197118686877,0.0002991996721242959,0.0002992125551737889,0.0002992060336415931,0.0006604284968201313,0.0007505949578985924,-0.003833468744005586,0.0004614849126977783,0.0023251503884915703,622.5096093289503,622.5483935724932,622.5582906562095,622.5808018812731,622.5653686523438
50,0.00038749066128294875,0.0016322437230742624,806.262748286757,50,41332682571639.398,0.00015336496071411993,41332682571639.398,2.6950538362335328e+17,7.8138353001409485e+17,0.005977135986521671,0.011084235341968451,5.422201266864872e-09,-0.012433930873123389,-0.4427088258812919,0.031071688117054776,0.092495075374161531,50,0.0003874852390816819,0.00038749066128294875,0.0003874872574825857,0.0003874857461958247,0.00038749003834544866,0.001434329113253252,0.0016322437230742624,-0.004304243710805622,0.0016728922757160494,0.0008162978232606477,806.251664051415,806.262748286757,806.2616023764318,806.2524806570891,806.2622680664062
60,0.0004939789033643386,0.002904205461483412,1027.8350137394793,60,39066238876558.43,0.0001440874554978563,39066238876558.43,2.7112866100366141e+17,5.1864110936509839e+18,0.011530751618054946,0.030947895214694654,1.5227039106826754e-08,0.029089501836167098,-0.4409700421590409,0.084445835020695428,0.22381902915339097,60,0.0004939910719195443,0.0004939789033643386,0.0004939785963640657,0.0004939938234031725,0.0004939878604738498,0.0029562745116151756,0.002904205461483412,-0.005805536672141898,0.003000918723672542,0.005725214945913049,1027.8602811777237,1027.8350137394793,1027.843084696193,1027.865961634694,1027.850830078125
70,0.0005677544358270802,0.008902645380820412,1181.3361573360594,70,41817360628169.055,0.00013537117432284055,41817360628169.055,3.089089005643161e+17,1.5331595730349965e+17,0.023128105826304424,0.14991046918567008,7.161283710802567e-08,-0.12291352795790345,-0.50797567637300978,0.1662903087248451,0.411201027302662,70,0.0005677701148072922,0.0005677544358270802,0.0005677409717431932,0.0005676985019701842,0.000567719733125322,0.008890694964416523,0.008902645380820412,0.01143515229523473,0.00979401244798753,-0.011692953531069694,1181.3687930488813,1181.3361573360594,1181.3056096733253,1181.2188825796957,1181.2845458984375
80,0.0007567596043522696,0.006361008043268652,1574.607880257603,80,46420079719094.898,0.00012718216706809375,46420079719094.898,3.6498890362704256e+17,3.6306072203228634e+17,0.01583310837608444,0.2697917613741083,1.2946567540131435e-07,0.12803111938828393,-0.47083335669436271,0.15499699920987367,0.34834905607094302,80,0.0007566901454446542,0.0007567596043522696,0.0007567725449568281,0.0007568196111200555,0.0007567955642706715,0.006938270371511623,0.006361008043268652,0.007993649523086788,0.006529936798638612,0.022194116419353094,1574.4627775944937,1574.607880257603,1574.6331735515341,1574.7325693558678,1574.6668701171875
90,0.000869827740082925,0.01533620921817814,1809.8634404926647,90,51555745703707.523,0.00011948853735700604,51555745703707.523,4.3147022169724992e+17,7.2728661794811482e+17,0.008436934970823207,0.05059289117525623,2.0704576029779292e-08,0.028568564079164971,-0.52473767491408541,0.030790931878612052,0.11222602569260109,90,0.0008698189943774003,0.000869827740082925,0.0008698284638165329,0.00086983969895343,0.0008698345353206617,0.021613601508952418,0.01533620921817814,0.013176666538129211,0.01410139287583016,0.018281984265914097,1809.838965627372,1809.8634404926647,1809.8671059313249,1809.8895585185473,1809.8746337890625
100,0.0010043208893572816,0.021934064655857767,2089.701098305884,100,57285837314154.648,0.00011226031832019659,57285837314154.648,5.1029462744582682e+17,5.3485733846159021e+17,0.009949634645629146,0.19608081678006783,9.771439168156267e-08,-0.0069885070070934141,-0.57758648270563717,0.28835742134826731,0.46701190658352632,100,0.001004227015785125,0.0010043208893572816,0.0010043247301768066,0.0010043178462851262,0.0010043201355857162,0.022689096674610387,0.021934064655857767,0.030974155129115388,0.021723565691805325,0.021024520483486242,2089.505017489104,2089.701098305884,2089.7000499331075,2089.694976985965,2089.700439453125
