"{'distance': [0.022, 0.08, 0.102, 0.109, 0.246, 0.324, 0.367, 0.577, 0.863], 'solute_3': [11.91, -6.52, 16.46, -5.62, 4.38, -11.47, 18.47, -4.26, 12.02], 'solute_2': [12.07, -4.75, 10.27, -15.31, 9.53, -7.27, 10.94, -2.19, 16.98], 'solute_1': [16.88, -19.67, 0.66, -15.82, 3.72, -19.89, 1.43, -13.25, 17.12]}","{'solute_3i': '76.0 uM', 'solute_1e': '44.0 nM', 'solute_2i': '409.0 nM', 'solute_3e': '63.0 M', 'solute_1i': '462.0 nM', 'solute_2e': '248.0 mM'}"
voltage,current,solute_3,solute_2,solute_1
-60,102797159007.94188778717308201013013379752633443996350809515337449589641499441595,0.00053765680359279339737567556520235213312873746813836018524875559051589883461157874,102797159007.94135013036948921673275812196113208783037935768523613571116623882544,191194751598080.12589575433891025495183286610550630745650755470279305281835191566,205594318015.88377557434616402026026759505266887992701619030674899179282998883191,9.8236417314199307613769752439354545121444504145462700754644626973167731760972608e-76,1.198173507237865117063337183797094010321275660913092725604088156618666139390168e-76,4.0837839282589239340320288731107236131116462904950006122113734518512673947144106e-79,1.3249531728235032402458202170569140672207498271339570388741951732892054591462524e-82,3896421.3683178057470303817526651063103103563467521060552054425818933780526488136,7.3566216338730545923004472208127173461087284617622987442278002303746358384525635e-79,9.2058668596104806010127774554922877298937636504303135049691167959858813139309865e-77,1.8278306225068796735903631626653907897033709016205333297614596848832690349809758e-76
-50,103551350991.91571456754387134959102850764942508387187133097904867015089006446986,0.0005764107101571936742800291640376467875555144573371983131233999823407668633217527,103551350991.91513815683371415591674847848538743708431581652171147183776666448752,179648554697528.25754320666809788433113689104282315592018364532816892809304575617,207102701983.83142913508774269918205701529885016774374266195809734030178012893972,1.1097476593296361343621462143698513448884060468300621579755458959166640467063719e-75,1.6051550588362794661393138850463730941139187200794289595748401982029660497430556e-77,1.3155167667671952521586301050378590195976651070927548764565750603890240483374143e-78,1.7391204284839240435324103240611449794508713053545826001358046778166121555292511e-82,3938336.3012412366474092160587002383535377779751227010052176349898041568566445629,-1.8772651966551625161296859934509117816556051954188577791193398116090385460456926e-76,1.7262032784144074114333334067765344986327755786869009986140070069434343228381307e-76,2.4253496921886373136569920345188364393638518325105075688748873325661134988893076e-76
-40,104315631456.7602099934977230960937133278005405499440816764107433683738032639019,0.00061795796977500331571437362362001228855884633169899852963661613425881425231825251,104315631456.75959203552794809277799895417692053765552283007904436984416664776764,168807000732980.6353053746800983107834205998596391926495103737339895747789593056,208631262913.52041998699544619218742665560108109988816335282148673674760652780379,1.7920049751820972597676680115310829110065700756205283873924184700599827991562036e-75,5.7352719470557015497423547411124284407644502908499391624688054185495837386162783e-77,2.955203031754175412648627978780967040669030361665592619304345021955487271470501e-78,2.756677950334800361567100731149510432970056277613054105921670913105442332677441e-82,3916586.8680691325929806207598665645439946587229813384632649042424949145810638815,-4.6858069104975801298749509409964449513202459639652381786895185833650330751523172e-76,4.3829506504671389881775838086465586910982440070681784987077410554751617433276588e-76,7.3294378122595350961895148855459657420234945441934533714540641105031085848037092e-76
-30,105089915273.70043552551101382014335092736870153455706438832442340177774781796267,0.00066249992527776436255172146170354537283036483999201102080131409932862086439612559,105089915273.69977302558573605578079920590699798918423402348443139075694650386334,158626305096773.71058777218567644913140135762044551184736039171831459322909157251,210179830547.40087105102202764028670185473740306911412877664884680355549563592534,1.7008107460939759416677631065579767385822758256784878496812257887875873077815988e-75,2.1964247726803065917001280092859033801803396141709490740285016152291814304463855e-76,4.6364586554327841140685028677485543595908410159656696205242001784425618591685003e-78,3.0696836347740740809194835397758660826960029211727758099818162876521531635669154e-82,3811168.6354653669762865924726639263983571694967160381329142002530333048513107023,-5.6334826401947446212506310042601646093660093593637680101741558537227811132316255e-76,5.1030642697599909402653921985619572567235878009410747920995621373603276561586786e-76,8.5131232642737605234949273975793706020503731994416019827975049553514344220400861e-76
-20,105874125005.13060061255236555015587162227263319932444323642193750565753000311093,0.00071025243214008200330361565196010236051032155053179759996771516795358903935372868,105874125005.12989036012022546815256800662067309696393291487140570805756228794298,149065487443834.91038576268633879502607394928934408919960027946312196443035491235,211748250010.26120122510473110031174324454526639864888647284387501131506000622186,5.3501064198810084454268449790048475343063622257682763180221842997694426220591236e-75,1.1080693414170738350648299213808891578623786209779890915735735160430668301352495e-76,2.4915562396505308969965724269947203798059319105607010350198161105578402069081567e-77,8.2631369281403872803305144567473563406436349492596174910863997008382155526210172e-82,3611244.1289830054477797150759033494440375525285540971570256468828487593893350516,-3.5259780539091909491536069532789502054082751089572019570489333878007033504131676e-76,3.865442423875988261844709885420782529998004941027512623378015045748596966733454e-76,7.7523095258950250101898512778741603548634431499300144239955316518306064006842986e-76
-10,106668190547.93256375389085409780686599682268036332444254443342626937014412446424,0.00076144690454025177891624970163464606141682466018816158498665940706148179672433753,106668190547.93180230698631384602794974712104571726302571977323810778515746505718,140086183175617.39549955008602103387145129589622199049742616827580181269512579864,213336381095.86512750778170819561373199364536072664888508886685253874028824892848,2.217530252962654099195273854536545958233774956858450826143757296805447935316907e-76,6.6479100230011679452742107967308739862619016477215808610790373636331957898855304e-77,4.103089328242464829686617199342111835419515157276462941662453355390996683947249e-77,5.2262790268225888135081474772183360870150272611585820005006061108989397495029546e-83,3325144.8073469558444975168612791034779108316661920816052274923456835332268281629,4.8712711867012345616070047517792909650895714414571425457959835092444371728502209e-78,2.5117103739238733066569839935405055040536203857130507058714836736004829340446218e-76,6.3280101804584182512505822390778728426757483549082275067310567203765421641369314e-76
0,107472048794.97426304137895411860961889793294148880547386725450387206274573472794,0.00081633143682016700526401810268753151767940505517431591509769426130936609071313664,107472048794.97344670994213395160435487983025395728779446219932955614764804046663,131652468528722.99798651980545595605334252372422701230456927613505821380665394776,214944097589.94852608275790823721923779586588297761094773450900774412549146945589,4.2317225919962778664393124127721957898468401785737778786616147003826099835495893e-75,6.5903285378352428274228188852628371424417898386510840728405126219900551057682536e-76,7.0425572030060025821776996663401671478155240520705459412161984224781191714179833e-77,4.7438362563377981188483510729288586127032270607970104946698112648192665432246544e-82,2978161.3669936478347794557123794782648318356687090833045233046321257549167336142,-1.0257361709833059534653072655104045375870432123133955203137146370521070410049618e-75,7.6533099225452534569531037688734450080663333102498560177559095295341046719971434e-76,1.0240450823208967027033616986653523203547233975290411337762903652562815328625943e-75
10,108285643313.87593496368872600836412879424725947296690630648664432660012126234516,0.00087517200577923038219711935645316665359820765551247345014484310850121696101195335,108285643313.87505979168294677798193167489080630631330809883113185314997641923665,123730698192821.21086743425780074040802019301513361901055552252792915122522808691,216571286627.75186992737745201672825758849451894593381261297328865320024252469031,1.3688327159824694731237367702538633320218860577631505995262570000217218008012447e-75,2.9313951866885089793320375464182952953408549918655343148972730200506459259799243e-76,4.3409773192683188457825503817384108362094303452325403046885674773535073061680725e-77,1.4167847959137395217659006646203718934693219738038731422013839392645260748705468e-82,2601747.2173302359552706603410621240729085504814702477678328931707128276450902521,-4.8091341774131001065134213443746338449283533240619978817881841365929064038473461e-76,4.7713516924973184316208877989497900677526352585491277336261584012647559180793912e-76,1.1549597629198936041472687060446700691055572257575871198056449212218672642937865e-75
20,109108924042.17788365934449169092831477330712671644250851416282524097907820387698,0.00093825375962872570459670579536484916522399186522008180383420425489310519500983699,109108924042.17694540558486296522371806751176186727728452229760515917524399962208,116289354476291.28798315016245985028149549045859116814227318365307060153166609113,218217848084.35576731868898338185662954661425343288501702832565048195815640775395,1.4394654422021139787268722163973724593735427990250196001117780122899463675507421e-75,3.7178536954514492423916655192170899833350258209516073466406242194867385982305593e-76,7.5171693448072963469538013309042589594581913110210441869486746885565761011252276e-77,1.9498887825964391963446466392264974941733440974268533676145856379552832074281025e-82,2227548.4462474207536567990880659263616532049081317877637192316084003168222738788,1.034185784072643813047255438631062454268818943658819508053815722967313421838042e-75,7.7065679938385972764555265714414228811208236343962195752262336390144227509355122e-76,1.4250393465306002817875937355539142875627953152530925543395642698374476611331797e-75
30,109941846998.08713969246814903368467072542203932576923113772559659625873775471041,0.0010058823998530717288903550590640304689015705584981125623136616673026752513059327,109941846998.08613381006829596195578037036297529530032956716709848369642409304311,109298907122886.57118387550043892291848213411114038905183485708741882027319866321,219883693996.17427938493629806736934145084407865153846227545119319251747550942082,1.355878463149827806185657242459662732665212057216496177448721444816468913096501e-75,2.4294495160174740770511288901151758803267606005668225649154204891361718518539811e-76,6.4877476807486382211882950854569542224872680594199473101244809488742403077449723e-77,1.5463383644642962027017181210800519404409774020925242159340480993650276573342274e-82,1886953.3286012852432484611799352401815626374179736074986057630411913703828216723,-4.9711744439040831727072091309720512900649811684898880759906204558392522256060757e-76,3.6677427047962258364605550366544796660848121179848188793981705226515571760645914e-76,8.3574286129499553972471475569349427122534269518283067942903738791167893432751117e-76
