voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-0.05369506546941417,-6.396757541088787,-0.006990599000624605,-111720.79190307141,-50,5524701776.4788694,1.6934234921100968,5524701774.7854462,3262445455.7405448,1.4865797258956253e+21,1.886633071990218e-10,2.6081367968111557e-12,1.0186340659856796e-10,1.3877787807814457e-17,1.9554526170008584,5.2556595896428166e-12,2.2220535724049341e-10,3.513922486320098e-10,-50,-0.053695065469414154,-0.05369506546941417,-6.396757540900124,-6.396757541088787,-0.006990598998016468,-0.006990599000624605,-111720.79190307151,-111720.79190307141
-40,-0.05167803849299436,-7.447425209385027,-0.006618709484012183,-107523.1984124126,-40,3599645272.2597179,1.7388339484190354,3599645270.520884,2070148949.8364983,6.9893331006943764e+19,2.958611133863087e-11,3.614733339041276e-11,5.820766091346741e-11,4.163336342344337e-17,2.0078877462955931,7.2833177344988626e-11,6.1018862803682145e-11,1.2118686609774443e-10,-40,-0.05167803849299432,-0.05167803849299436,-7.447425209414613,-7.447425209385027,-0.00661870944786485,-0.006618709484012183,-107523.19841241254,-107523.1984124126
-30,-0.04973641490683295,-8.708560572979568,-0.0062643214175799765,-103482.35887097898,-30,2345368223.8320827,1.7941155031903113,2345368222.0379672,1307255981.9373553,1.9809500257285988e+19,1.5481838033792883e-10,8.310532990940533e-11,4.3655745685100555e-11,1.1102230246251565e-16,2.0717212682567947,1.6743308557481665e-10,3.5713152367263579e-10,6.0154928434308363e-10,-30,-0.04973641490683284,-0.04973641490683295,-8.70856057282475,-8.708560572979568,-0.0062643213344746465,-0.0062643214175799765,-103482.35887097893,-103482.35887097898
-20,-0.04786707733848588,-10.228804536848768,-0.0059275453315532824,-99591.75443348727,-20,1528139485.3329093,1.8601246047177447,1528139483.4727848,821525333.01111257,1.6794978815967881e+20,4.0465408801537706e-12,6.387021987686037e-12,1.3096723705530167e-10,6.245004513516506e-17,2.1479421402642944,1.2867242539368601e-11,2.0058737710549025e-10,2.9380155773528482e-10,-20,-0.04786707733848582,-0.04786707733848588,-10.228804536852815,-10.228804536848768,-0.005927545337940304,-0.0059275453315532824,-99591.75443348713,-99591.75443348727
-10,-0.0460668918143158,-12.068380583115445,-0.005608218914966233,-95844.82399056797,-10,995671117.89380777,1.9378157063522576,995671115.9559921,513811047.47471476,1.1139817358635344e+19,1.9450929755748803e-10,6.274525690685984e-11,1.1641532182693481e-10,3.469446951953614e-17,2.2376524892374605,1.2639723491597867e-10,2.7639032656952668e-10,5.1881954635235594e-10,-10,-0.046066891814315766,-0.0460668918143158,-12.068380582920936,-12.068380583115445,-0.005608218852220976,-0.005608218914966233,-95844.82399056808,-95844.82399056797
0,-0.04433260799933091,-14.300919039140254,-0.005305607358338844,-92234.75537868473,0,648739705.74659276,2.0282513902056962,648739703.71834135,319851724.92883164,2.3245371901053579e+19,8.08153544085144e-11,1.959199209117246e-11,1.6007106751203537e-10,4.85722573273506e-17,2.3420793046070711,3.9466704885635461e-11,2.0365462955563903e-10,3.3880331526403573e-10,0,-0.04433260799933096,-0.04433260799933091,-14.300919039059439,-14.300919039140254,-0.005305607338746852,-0.005305607358338844,-92234.75537868489,-92234.75537868473
10,-0.04266066549891682,-17.013746234729595,-0.005017522389128311,-88754.08215397826,10,422696226.43772101,2.1326135747095409,422696224.30510741,198205728.14992592,3.3393446624489359e+18,1.7626433646000805e-10,8.885460769936238e-11,1.1641532182693481e-10,1.5265566588595902e-16,2.4625873887900447,1.7900289091444998e-10,4.0744814755449077e-10,6.9801000049385387e-10,10,-0.042660665498916665,-0.04266066549891682,-17.01374623455333,-17.013746234729595,-0.005017522300273703,-0.005017522389128311,-88754.08215397815,-88754.08215397826
20,-0.04104678035728706,-20.30281696313842,-0.004737595022648137,-85393.82658727403,20,275418853.48591864,2.252215920593637,275418851.23370272,122287943.60592389,6.7716975176181422e+18,1.1527490073603985e-10,2.8544605047697846e-11,5.820766091346741e-11,7.632783294297951e-17,2.6006937093252689,5.7515229313128921e-11,2.4480551129723743e-10,4.0803482120876922e-10,20,-0.041046780357287135,-0.04104678035728706,-20.302816963253694,-20.30281696313842,-0.004737595051192742,-0.004737595022648137,-85393.82658727409,-85393.82658727403
30,-0.03948497241601058,-24.251596897964113,-0.004446732520608832,-82141.48994437125,30,179463718.96178573,2.388517562014759,179463716.57326818,75136026.55297403,3.2801720029622395e+18,2.2520652009916375e-11,3.838327745919745e-11,1.6007106751203537e-10,9.020562075079397e-17,2.7580833354688026,7.7367025026617724e-11,2.6080529594458379e-10,4.2406587269505636e-10,30,-0.03948497241601049,-0.03948497241601058,-24.251596897986634,-24.251596897964113,-0.004446732482225555,-0.004446732520608832,-82141.48994437109,-82141.48994437125
40,-0.03796507929273896,-28.864366033946858,-0.004086278081433105,-78975.92423220232,40,116950969.18841845,2.5431383030191186,116950966.64528014,45986869.47130584,8.5282544265161175e+18,5.064748620497994e-11,9.613586836321186e-12,5.820766091346741e-11,6.938893903907228e-18,2.936627235483845,1.9390908847198423e-11,5.9719172050547626e-11,9.7223507022903277e-11,40,-0.03796507929273895,-0.03796507929273896,-28.864366033997506,-28.864366033946858,-0.0040862780910466915,-0.004086278081433105,-78975.92423220226,-78975.92423220232
50,-0.03646600051082462,-33.872932818807456,-0.003473731415357591,-75853.40398184385,50,76233198.711841837,2.717875434403592,76233195.993966401,28048819.952107325,8.0858464367534221e+17,1.2460077414289117e-10,6.600152542557414e-11,5.820766091346741e-11,4.163336342344337e-17,3.1384024950417162,1.3329931574218875e-10,2.5000991359873731e-10,4.7751945453367028e-10,50,-0.03646600051082466,-0.03646600051082462,-33.87293281893206,-33.872932818807456,-0.0034737313493560656,-0.003473731415357591,-75853.4039818439,-75853.40398184385
60,-0.03493662170279174,-38.196382014300326,-0.0020390168571719665,-72668.29505210748,60,49725550.971948519,2.9147223424987727,49725548.057226174,17060133.051753782,7.0531462614681971e+17,4.5211834276415175e-11,4.92241941651983e-11,2.3283064365386963e-10,1.457167719820518e-16,3.3657166033720074,9.9656553629635758e-11,3.8337523779299777e-10,6.1598150538633156e-10,60,-0.0349366217027916,-0.03493662170279174,-38.196382014255114,-38.196382014300326,-0.0020390168079477723,-0.0020390168571719665,-72668.29505210725,-72668.29505210748
70,-0.03324109326167844,-38.46751246367103,0.0019924694977831187,-69140.17733721582,70,32493358.770370223,3.1358890996003006,32493355.634481125,10361769.099076819,6.007614577645088e+17,2.276365762554633e-10,3.756686801914544e-11,7.275957614183426e-11,5.551115123125783e-17,3.6211429224146934,7.6414396452455351e-11,3.1688907928277363e-10,5.5143137625557337e-10,70,-0.03324109326167839,-0.03324109326167844,-38.46751246344339,-38.46751246367103,0.0019924695353499867,0.0019924694977831187,-69140.1773372159,-69140.17733721582
80,-0.031003953207261483,-25.16564277036764,0.01406126724215061,-64494.16748473344,80,21334569.267656859,3.2488120873400019,21334566.018844772,6566883.123463369,1.2637980818588529e+19,1.8387424915999873e-10,1.1599107091475602e-12,8.003553375601768e-11,9.71445146547012e-17,3.9076099076144346,2.3821785149971987e-12,3.2427942589189288e-10,5.0388310884885712e-10,80,-0.031003953207261386,-0.031003953207261483,-25.165642770183766,-25.16564277036764,0.014061267240990698,0.01406126724215061,-64494.16748473336,-64494.16748473344
90,-0.02720283337092729,26.56491472120115,0.0501407141997492,-56619.57733506286,90,14186786.190730048,3.6612449951035373,14186782.529485052,3874853.0103019932,3.99919766495096e+17,8.742517820792273e-11,2.38128475271715e-11,4.3655745685100555e-11,5.898059818321144e-17,4.2288494607286458,4.9926227138477695e-11,1.7275617183461766e-10,2.5846245976790527e-10,90,-0.02720283337092735,-0.02720283337092729,26.564914721113723,26.56491472120115,0.05014071417593635,0.0501407141997492,-56619.5773350629,-56619.57733506286
100,-0.019332440103924167,172.64753265226864,0.15197699959868893,-40340.88517172693,100,9749979.4663923755,3.9711551203165225,9749975.4952372555,2455199.8526854953,97885544639580160.0,4.263256414560601e-11,6.362599336284802e-11,2.3283064365386963e-10,6.591949208711867e-17,4.5924101311740033,1.393986422286341e-10,2.5243197816757911e-10,3.9922953831705854e-10,100,-0.0193324401039241,-0.019332440103924167,172.647532652226,172.64753265226864,0.15197699953506294,0.15197699959868893,-40340.885171726695,-40340.88517172693
