voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,-7.532413688621804e-07,-4.706080108880997,0.002099452498611803,-50,14281955098.645016,3.0765207416641174e-09,14281955098.645016,4.6422424218468874e+18,88407602185566128.0,1.3593585901361394e-06,6.960890762859606e-07,1.4653281654656815e-13,-0.0034042738773352632,1.5425142461302638e-06,1.0539517817121898e-06,1.8197297123457806e-06,-50,-7.53241515394997e-07,-7.532413688621804e-07,-7.532413831387243e-07,-7.532414934781755e-07,-4.706080853939056,-4.706080108880997,-4.70608018334109,-4.706079494580466,0.002099367684269085,0.002099452498611803,0.0020994451701570106,0.002098756409535517
-40,-4.90293358457291e-07,-3.065223902463913,0.0023580234626335837,-40,14124842512.736313,2.7837510844214353e-09,14124842512.736313,5.0740321545925755e+18,74590674641581776.0,1.63949377807171e-06,8.951524220206404e-07,1.4340339508942202e-13,-0.0037858876677273503,1.8952007938108535e-06,1.0382590924293103e-06,1.8187490823741908e-06,-40,-4.902934352481816e-07,-4.90293358457291e-07,-4.902933075341041e-07,-4.902934509374992e-07,-3.065224349498749,-3.065223902463913,-3.065223605157536,-3.0652227100049707,0.0023580073081083956,0.0023580234626335837,0.0023580337457338317,0.002357138593311811
-30,-3.183597282846332e-07,-1.9925476908683777,0.0026417346831487027,-30,14003049390.411343,2.5188421436826941e-09,14003049390.411343,5.5593199540238234e+18,95956275329574976.0,1.1889781397211863e-06,5.091281433957338e-07,1.3100465465654904e-13,-0.0042087729366534678,-6.3905275970044945e-07,9.2686364190442165e-07,1.7295963379716398e-06,-30,-3.1835959727997856e-07,-3.183597282846332e-07,-3.183597195207102e-07,-3.183596379583764e-07,-1.992546945810318,-1.9925476908683777,-1.9925476256603472,-1.9925481347884577,0.00264177103256668,0.0026417346831487027,0.002641729432201557,0.0026422385603449526
-20,-2.0613131635990236e-07,-1.292618677020073,0.002953170095859349,-20,13916271185.425091,2.2791426217300103e-09,13916271185.425091,6.105923803426474e+18,33725519049121760.0,1.7033436963131976e-06,8.481589554463695e-07,1.3586855085315307e-13,-0.0046787303653738907,1.3986233164974861e-06,1.2243135430752317e-06,2.2408536277163184e-06,-20,-2.0613130004812856e-07,-2.0613131635990236e-07,-2.061311804913515e-07,-2.0613131523437151e-07,-1.2926182746887207,-1.292618677020073,-1.2926178147692649,-1.2926169736763766,0.0029530198408379517,0.002953170095859349,0.002953163029602741,0.0029523219369039025
-10,-1.3306563714362014e-07,-0.8372126072645187,0.0032953262801365944,-10,13864290907.064344,2.0622535251818903e-09,13864290907.064344,6.7228838441876429e+18,23992790914449792.0,1.547677482172105e-06,8.215417206525188e-07,1.273082121920937e-13,-0.0052011633782150686,-1.823045131552764e-06,1.0807826813480893e-06,1.8941768986550208e-06,-10,-1.3306567027116884e-07,-1.3306563714362014e-07,-1.3306576445183233e-07,-1.3306565498713418e-07,-0.8372125327587128,-0.8372126072645187,-0.8372133971361579,-0.8372140804361949,0.0032951856328868323,0.0032953262801365944,0.0032953238744699545,0.003296007174607485
0,-8.549673413785472e-08,-0.5410304963588715,0.0036715086730227265,0,13846978577.55788,1.8660041550611373e-09,13846978577.55788,7.420657955128831e+18,53807516139557648.0,5.550663320086358e-07,2.7801498282209805e-07,6.101720868821732e-14,-0.0057828321670124307,-7.2793169287113657e-07,3.7943132413358238e-07,7.8763246572966437e-07,0,-8.549668922389386e-08,-8.549673413785472e-08,-8.549675024110255e-08,-8.549670570310596e-08,-0.5410303175449371,-0.5410304963588715,-0.5410305945962635,-0.5410308726112691,0.0036715594469570933,0.0036715086730227265,0.003671507531894052,0.003671785546876874
10,-5.459460862402236e-08,-0.3489610254764557,0.0040853547356611486,10,13864290907.064344,1.6884303817098917e-09,13864290907.064344,8.2113488700812329e+18,2.4609395235026173e+17,2.4840021284888714e-06,8.12476941541157e-07,2.7539471455918535e-13,-0.0064319354235390872,-1.1005280478393678e-06,2.2000875680668467e-06,4.2309772082657305e-06,10,-5.4594807155838506e-08,-5.459460862402236e-08,-5.459488401873692e-08,-5.459476335074965e-08,-0.3489621579647064,-0.3489610254764557,-0.3489627562443483,-0.3489635094785842,0.004085301342407812,0.0040853547356611486,0.004085360585542043,0.004086113819349353
20,-3.449511214359449e-08,-0.22440721094608307,0.004540958333233514,20,13916271185.425091,1.527754987119848e-09,13916271185.425091,9.1089679318673357e+18,64103125357356984.0,7.657213004774732e-07,4.2265027367857644e-07,1.2249073669648677e-13,-0.0071564426712161996,4.7829812159592283e-07,6.8953969242390284e-07,1.2823456933033342e-06,20,-3.449523463433119e-08,-3.449511214359449e-08,-3.449513962902911e-08,-3.449520733761548e-08,-0.22440773248672485,-0.22440721094608307,-0.22440738941561986,-0.22440696676542438,0.004540836797884313,0.004540958333233514,0.0045409617832496505,0.004540539132975972
30,-2.143875934994609e-08,-0.14391058683395386,0.005042811051352424,30,14003049390.411343,1.3823698779370841e-09,14003049390.411343,1.0129741405612909e+19,37140716238649416.0,1.211478511148334e-06,4.384147243843492e-07,1.234366496428779e-13,-0.0079654760980356655,-9.1510846449323335e-07,1.0094468617359279e-06,1.8635158348086224e-06,30,-2.143881942182722e-08,-2.143875934994609e-08,-2.1438882786595733e-08,-2.1438812960725882e-08,-0.1439111828804016,-0.14391058683395386,-0.14391136244676114,-0.143911798312465,0.0050429215843106,0.005042811051352424,0.00504281359979838,0.005043249466076809
40,-1.2934835465015187e-08,-0.09193351864814758,0.005595862117409659,40,14124842512.736313,1.2508199911232759e-09,14124842512.736313,1.1292466232532595e+19,1.9995756830003642e+17,1.1622905731201172e-06,2.7898410109947896e-07,1.6757065408577082e-13,-0.0088706097558021845,-4.3802686452206613e-07,1.3245866308873989e-06,2.3518030583811008e-06,40,-1.2934667894361101e-08,-1.2934835465015187e-08,-1.293473090277166e-08,-1.2934696837035777e-08,-0.09193235635757446,-0.09193351864814758,-0.09193288234798433,-0.09193309499166102,0.005595803976661445,0.005595862117409659,0.005595870316402709,0.005596082960762545
50,-7.377257113588589e-09,-0.05846157670021057,0.006205641303948638,50,14281955098.645016,1.1317887311957467e-09,14281955098.645016,1.2618923218608105e+19,1.3186071037185392e+17,1.1894231836395708e-06,2.2442531282061e-07,2.581048200430247e-13,-0.0098832102877190811,-2.4148786220267587e-07,1.7595837644171801e-06,3.217321433543573e-06,50,-7.377515218408632e-09,-7.377257113588589e-09,-7.3774488618589e-09,-7.377460817747597e-09,-0.05846273899078369,-0.05846157670021057,-0.05846276612339421,-0.05846269149063187,0.006205416878635818,0.006205641303948638,0.006205637550277317,0.0062055629183883545
60,-3.7224924361340256e-09,-0.03699290752410889,0.00687818773167359,60,14474780011.438519,1.0240847932973544e-09,14474780011.438519,1.4134356946003012e+19,2.2920861000842109e+18,2.107278090968112e-06,6.265143305938387e-07,2.417576239608865e-13,-0.011016136711099977,-1.3463701735126621e-06,1.7821317965481688e-06,3.296523294624019e-06,60,-3.7226448766288983e-09,-3.7224924361340256e-09,-3.7227341937579864e-09,-3.7226384974261537e-09,-0.03699380159378052,-0.03699290752410889,-0.03699441744811041,-0.036995014802199855,0.0068781589846902014,0.00687818773167359,0.006878188144286208,0.006878785499020795
70,-1.2838946189763318e-09,-0.023254767060279846,0.007620221798004055,70,14703799413.836809,9.2663024021706726e-10,14703799413.836809,1.5868033197785969e+19,1.2603945109184315e+17,9.685754776000977e-07,1.9713229891440281e-07,1.238471548897244e-13,-0.012284814371275762,-3.1798960755877181e-07,1.1326112167253766e-06,2.1526525953356582e-06,70,-1.2840184661312216e-09,-1.2838946189763318e-09,-1.2839722861545425e-09,-1.2839873336044314e-09,-0.023255735635757446,-0.023254767060279846,-0.02325524095396938,-0.023255147035786395,0.007620319546557806,0.007620221798004055,0.007620216337925568,0.007620122414258892
80,3.7458585751535645e-10,-0.014540016651153564,0.008439127731055422,80,14969585973.636772,8.3844971403205207e-10,14969585973.636772,1.7853886432436087e+19,2.6236756548845254e+17,1.6830691548664484e-06,7.223253372708877e-07,1.6142935547791523e-13,-0.013705977555964761,-6.0228747619621437e-07,1.2781273401782892e-06,2.1310939200789763e-06,80,3.7453468488633466e-10,3.7458585751535645e-10,3.7442442815987854e-10,3.7453468490215863e-10,-0.014540255069732666,-0.014540016651153564,-0.014541011482479417,-0.014541699720308431,0.008439087225522808,0.008439127731055422,0.008439121309778655,0.00843980955086008
90,1.5492937238973156e-09,-0.00901515781879425,0.00934307742343369,90,15272804295.679935,7.5866067439775074e-10,15272804295.679935,2.0131271873033327e+19,3.0425368890689478e+17,9.350571346638387e-07,5.361658754563653e-07,1.354167452167873e-13,-0.015297397454712858,5.4588952949977121e-07,9.4031747273283584e-07,1.6399744480919891e-06,90,1.5491583071520988e-09,1.5492937238973156e-09,1.5492558222654352e-09,1.5491699290959003e-09,-0.009015798568725586,-0.00901515781879425,-0.009015399681234874,-0.009014863511590922,0.009342975149381828,0.00934307742343369,0.00934308005992279,0.009342543894047334
100,2.4235560271231078e-09,-0.005553930997848511,0.010341122886948937,100,15614212583.710781,6.8646456578748059e-10,15614212583.710781,2.2745839132714553e+19,67804403988131896.0,9.775030756359326e-07,4.751511844154621e-07,7.947899634249592e-14,-0.017078824158053826,5.6743954776269923e-07,8.0555893779694363e-07,1.498658348487614e-06,100,2.4234765481267653e-09,2.4235560271231078e-09,2.423536502810591e-09,2.423480905679995e-09,-0.005554676055908203,-0.005553930997848511,-0.005554045604067451,-0.005553698552832567,0.010341247354192444,0.010341122886948937,0.010341119252753423,0.010340772203008029
