"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,current,solute_2,solute_1
"{'distance': [0.125, 0.25, 0.375, 0.5, 0.625, 0.75, 0.875], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM'}"
voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-150,-0.0665470870721207,-0.06654708707212158,-0.06654708707212106,-0.06654708707212152,-76476.39504533933,-76476.39504533565,-76476.39504533209,-76476.39504533689,-169461.82455011655,-169461.82455012112,-169461.8245501213,-169461.82455012036
-140,-0.059911169310757274,-0.05991116931075866,-0.059911169310756206,-0.059911169310758086,-71098.5156118392,-71098.515611841,-71098.51561184338,-71098.51561185037,-151439.4104548709,-151439.41045487433,-151439.4104548655,-151439.41045486787
-130,-0.053810818132478844,-0.053810818132477824,-0.05381081813248002,-0.0538108181324752,-65824.63038031748,-65824.6303803124,-65824.63038031074,-65824.63038030776,-135036.55538561795,-135036.5553856173,-135036.555385625,-135036.55538561143
-120,-0.04817129739218122,-0.04817129739218094,-0.0481712973921818,-0.04817129739218102,-60653.0997881494,-60653.09978814758,-60653.099788147185,-60653.0997881419,-120020.82024381925,-120020.8202438193,-120020.82024382218,-120020.82024382237
-110,-0.04292438612398032,-0.04292438612398061,-0.04292438612397852,-0.042924386123980675,-55582.53013911442,-55582.53013911239,-55582.53013911011,-55582.530139114824,-106179.97751465105,-106179.97751465296,-106179.97751464756,-106179.97751465192
-100,-0.038009155235156376,-0.03800915523515579,-0.038009155235155974,-0.03800915523515564,-50609.11657680491,-50609.11657680505,-50609.11657680691,-50609.11657680609,-93325.76391870235,-93325.76391870044,-93325.76391870009,-93325.76391869946
-90,-0.03337283384225471,-0.03337283384225493,-0.033372833842256554,-0.033372833842254555,-45723.670011235066,-45723.670011234186,-45723.67001123568,-45723.6700112338,-81298.07086908506,-81298.07086908618,-81298.07086909052,-81298.07086908522
-80,-0.0289717894227219,-0.02897178942272111,-0.028971789422721137,-0.02897178942272112,-40908.528824510955,-40908.5288245104,-40908.528824509805,-40908.52882450863,-69969.54776852448,-69969.5477685223,-69969.54776852268,-69969.54776852322
-70,-0.024772594627482297,-0.024772594627481798,-0.02477259462748104,-0.024772594627480226,-36134.737124358595,-36134.737124354695,-36134.737124355204,-36134.737124356296,-59250.34250986282,-59250.34250986323,-59250.3425098606,-59250.342509857524
-60,-0.020752966060858004,-0.020752966060858368,-0.020752966060857733,-0.020752966060857313,-31360.24721742893,-31360.247217426528,-31360.247217428303,-31360.247217427066,-49091.93026412575,-49091.93026412809,-49091.930264125214,-49091.93026412453
-50,-0.01690193970729554,-0.016901939707296174,-0.01690193970729683,-0.016901939707296552,-26530.550706353737,-26530.550706353417,-26530.55070635196,-26530.55070635333,-39487.34545611008,-39487.34545611223,-39487.34545611501,-39487.34545611346
-40,-0.013217966072152787,-0.01321796607215339,-0.013217966072153106,-0.013217966072152018,-21583.95537826614,-21583.955378267427,-21583.95537826809,-21583.955378267856,-30462.59806664966,-30462.598066650906,-30462.598066649683,-30462.598066646402
-30,-0.00970301193766053,-0.009703011937660544,-0.009703011937661061,-0.009703011937660547,-16464.009909686123,-16464.00990968605,-16464.009909684788,-16464.00990968413,-22052.05227880404,-22052.05227880412,-22052.052278806364,-22052.052278805088
-20,-0.006351433352040545,-0.006351433352040854,-0.00635143335204051,-0.006351433352041086,-11139.599082464934,-11139.599082461973,-11139.599082460241,-11139.599082458182,-14253.650371503318,-14253.650371505762,-14253.650371505555,-14253.650371508382
-10,-0.003136066768264374,-0.0031360667682646145,-0.0031360667682640217,-0.0031360667682642385,-5627.029396891856,-5627.029396892805,-5627.029396892358,-5627.029396894213,-6974.458985275589,-6974.458985275865,-6974.458985274239,-6974.458985273988
0,-1.4453544281423092e-16,-1.002423232421279e-16,3.7299469113349916e-16,-2.517714165151119e-16,-4.045432433485985e-09,-8.585629984736443e-10,1.3533281162381172e-09,6.984919309616089e-10,1.57160684466362e-09,1.1641532182693481e-10,4.874891601502895e-10,-1.1350493878126144e-09
10,0.003136066768264159,0.0031360667682631487,0.0031360667682653405,0.003136066768264444,5627.029396894999,5627.029396894512,5627.0293968924925,5627.029396887112,6974.458985273348,6974.458985270438,6974.458985278288,6974.458985278179
20,0.00635143335204074,0.006351433352040777,0.006351433352040521,0.006351433352040997,11139.599082457426,11139.599082460485,11139.599082463286,11139.599082460656,14253.650371507683,14253.650371506264,14253.650371504067,14253.650371506868
30,0.009703011937660688,0.009703011937660757,0.00970301193766086,0.009703011937660735,16464.009909682965,16464.00990968394,16464.009909686065,16464.009909686007,22052.052278806106,22052.052278805837,22052.052278805095,22052.05227880474
40,0.013217966072154254,0.013217966072153422,0.013217966072153073,0.013217966072152717,21583.95537826995,21583.95537826739,21583.955378267703,21583.955378267274,30462.59806665234,30462.59806665102,30462.59806664977,30462.598066648876
