voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
-50,-0.016901939707296174,-26530.550706353417,-39487.34545611223,-50,136950963.8044157,56348.442938020635,136894615.36147767,2430.4303129556256,3.9192184673963994e+17,1.775333657860756e-09,4.925823304802179e-09,1.2906342661267445e-15,4.3612950877757503e-09,-132914.30408929614,5.0954111048918666e-09,1.6689824633431272e-08,-50,-0.01690193970729554,-0.016901939707296174,-0.01690193970729683,-0.016901939707296552,-26530.550706353737,-26530.550706353417,-26530.55070635196,-26530.55070635333,-39487.34545611008,-39487.34545611223,-39487.34545611501,-39487.34545611346
-40,-0.01321796607215339,-21583.955378267427,-30462.598066650906,-40,131095553.34898375,62274.660413945508,131033278.6885698,2105.11871887505,2.7315270911769487e+18,1.949956640601158e-09,4.503817763179541e-09,1.3721662694976544e-15,-1.464034555511456e-08,-122298.92224816862,3.6200579386625539e-09,1.4670519021819928e-08,-40,-0.013217966072152787,-0.01321796607215339,-0.013217966072153106,-0.013217966072152018,-21583.95537826614,-21583.955378267427,-21583.95537826809,-21583.955378267856,-30462.59806664966,-30462.598066650906,-30462.598066649683,-30462.598066646402
-30,-0.009703011937660544,-16464.00990968605,-22052.05227880412,-30,126533426.34564915,68824.143622529344,126464602.20202662,1838.5034623842218,6.5959913600059558e+17,1.9936123862862587e-09,2.3246684577316046e-09,5.30825383648903e-16,3.5980949176570969e-09,-113498.03991701151,3.2639362142773523e-09,1.23997665468778e-08,-30,-0.00970301193766053,-0.009703011937660544,-0.009703011937661061,-0.009703011937660547,-16464.009909686123,-16464.00990968605,-16464.009909684788,-16464.00990968413,-22052.05227880404,-22052.05227880412,-22052.052278806364,-22052.052278805088
-20,-0.006351433352040854,-11139.599082461973,-14253.650371505762,-20,123219838.66936821,76062.441993080982,123143776.22737512,1619.9826805531288,1.0940177086042724e+18,6.752088665962219e-09,5.0640664994716644e-09,5.759281940243e-16,1.412582529255335e-09,-106886.79967654475,6.8386773150484682e-09,2.0596132799255429e-08,-20,-0.006351433352040545,-0.006351433352040854,-0.00635143335204051,-0.006351433352041086,-11139.599082464934,-11139.599082461973,-11139.599082460241,-11139.599082458182,-14253.650371503318,-14253.650371505762,-14253.650371505555,-14253.650371508382
-10,-0.0031360667682646145,-5627.029396892805,-6974.458985275865,-10,121122497.36270043,84061.998848568997,121038435.36385186,1440.8710121310935,9.297458507128215e+17,2.35741026699543e-09,1.877197064459324e-09,5.928417479150738e-16,-3.3717897397572933e-09,-102779.15662397727,4.3924131395770783e-09,1.6677859093761072e-08,-10,-0.003136066768264374,-0.0031360667682646145,-0.0031360667682640217,-0.0031360667682642385,-5627.029396891856,-5627.029396892805,-5627.029396892358,-5627.029396894213,-6974.458985275589,-6974.458985275865,-6974.458985274239,-6974.458985273988
0,-1.002423232421279e-16,-8.585629984736443e-10,1.1641532182693481e-10,0,120221239.61384445,92902.876442747045,120128336.73740171,1294.0529315896135,2.8194432489799907e+17,5.398760549724102e-09,2.7066562324762344e-09,6.24766107648611e-16,-2.8452986608129083e-09,-101385.22826162707,7.5235032070134648e-09,2.2260451260081027e-08,0,-1.4453544281423092e-16,-1.002423232421279e-16,3.7299469113349916e-16,-2.517714165151119e-16,-4.045432433485985e-09,-8.585629984736443e-10,1.3533281162381172e-09,6.984919309616089e-10,1.57160684466362e-09,1.1641532182693481e-10,4.874891601502895e-10,-1.1350493878126144e-09
10,0.0031360667682631487,5627.029396894512,6974.458985270438,10,121122497.36270043,84061.998848568997,121038435.36385186,1440.8710121310935,1.3746242416403919e+18,7.887138053774834e-09,7.850758265703917e-09,2.1918231118966958e-15,-3.4360676384433825e-09,-102779.15662396634,6.8950039952575323e-09,2.0729657990159467e-08,10,0.003136066768264159,0.0031360667682631487,0.0031360667682653405,0.003136066768264444,5627.029396894999,5627.029396894512,5627.0293968924925,5627.029396887112,6974.458985273348,6974.458985270438,6974.458985278288,6974.458985278179
20,0.006351433352040777,11139.599082460485,14253.650371506264,20,123219838.66936821,76062.441993080982,123143776.22737512,1619.9826805531288,1.2104025712223514e+18,5.8607838582247496e-09,3.6161509342491627e-09,4.761815941556335e-16,-1.7457703697781029e-09,-106886.79967654047,4.4978547224477197e-09,1.8067225937556941e-08,20,0.00635143335204074,0.006351433352040777,0.006351433352040521,0.006351433352040997,11139.599082457426,11139.599082460485,11139.599082463286,11139.599082460656,14253.650371507683,14253.650371506264,14253.650371504067,14253.650371506868
30,0.009703011937660757,16464.00990968394,22052.052278805837,30,126533426.34564915,68824.143622529344,126464602.20202662,1838.5034623842218,4.5120829292214682e+17,3.0995579436421394e-09,1.367880031466484e-09,1.717376241217039e-16,-3.2997600729137146e-09,-113498.03991701102,3.380342436362477e-09,1.2702230378636159e-08,30,0.009703011937660688,0.009703011937660757,0.00970301193766086,0.009703011937660735,16464.009909682965,16464.00990968394,16464.009909686065,16464.009909686007,22052.052278806106,22052.052278805837,22052.052278805095,22052.05227880474
40,0.013217966072153422,21583.95537826739,30462.59806665102,40,131095553.34898375,62274.660413945508,131033278.6885698,2105.11871887505,4.071025953193808e+17,2.6775524020195007e-09,3.4633558243513107e-09,1.536964999715451e-15,-9.1546432358991802e-10,-122298.92224816642,9.2678018780115958e-09,3.0955618512962246e-08,40,0.013217966072154254,0.013217966072153422,0.013217966072153073,0.013217966072152717,21583.95537826995,21583.95537826739,21583.955378267703,21583.955378267274,30462.59806665234,30462.59806665102,30462.59806664977,30462.598066648876
50,0.01690193970729721,26530.55070635373,39487.345456115305,50,136950963.8044157,56348.442938020635,136894615.36147767,2430.4303129556256,1.2037599578433388e+18,1.2369127944111824e-09,4.343746695667505e-09,1.4918621893400541e-15,-6.9550008125681379e-09,-132914.30408929006,5.5002039682512903e-09,1.7384337525072624e-08,50,0.016901939707295997,0.01690193970729721,0.01690193970729572,0.016901939707296015,26530.550706352573,26530.55070635373,26530.550706353122,26530.55070635381,39487.3454561121,39487.345456115305,39487.34545611096,39487.345456111536
60,0.02075296606085845,31360.24721742698,49091.930264128125,60,144157298.53041929,50986.179618385198,144106312.3508009,2827.3798823404559,5.7216777640399686e+17,2.8558133635669947e-09,3.259629011154175e-09,5.863365348801608e-16,5.350029425259689e-09,-144954.68290752827,1.9604045676357291e-09,7.9159292454278329e-09,60,0.02075296606085866,0.02075296606085845,0.020752966060858073,0.02075296606085841,31360.247217425407,31360.24721742698,31360.247217428263,31360.24721742804,49091.930264129565,49091.930264128125,49091.930264126306,49091.930264127455
70,0.0247725946274798,36134.73712435574,59250.34250985646,70,152785669.52183977,46134.203121417318,152739535.31871834,3311.7656572442374,1.5675494312663288e+18,9.74978320300579e-10,6.26459950581193e-09,1.9567680809018384e-15,5.2012285901250535e-10,-158063.51364980591,6.4375088257477974e-09,2.3205458887787245e-08,70,0.024772594627481756,0.0247725946274798,0.024772594627481742,0.024772594627480618,36134.73712435615,36134.73712435574,36134.73712435534,36134.737124355175,59250.342509862356,59250.34250985646,59250.34250986273,59250.3425098593
80,0.02897178942272045,40908.52882451085,69969.54776852002,80,162921369.13354927,41743.953235529756,162879625.18031374,3902.8735063568711,1.6328031098688328e+18,3.230525180697441e-09,3.637978807091713e-09,1.4606371667724716e-15,2.5894054918022851e-09,-171958.38314943353,4.447690809261633e-09,1.6641820366203319e-08,80,0.02897178942272191,0.02897178942272045,0.028971789422720735,0.028971789422721078,40908.5288245127,40908.52882451085,40908.52882451042,40908.52882450947,69969.54776852365,69969.54776852002,69969.54776852112,69969.54776852267
90,0.03337283384225413,45723.670011232556,81298.0708690845,90,174664721.05624309,37771.490864250583,174626949.56537884,4624.247469711534,3.9831655597233172e+18,3.3396645449101925e-09,3.1141098588705063e-09,1.2212453270876722e-15,7.829924928047695e-09,-186455.80401858041,7.8520749814643024e-09,2.5912626711033226e-08,90,0.033372833842254146,0.03337283384225413,0.03337283384225535,0.03337283384225503,45723.6700112338,45723.670011232556,45723.670011235095,45723.670011235896,81298.07086908394,81298.0708690845,81298.07086908705,81298.07086908564
100,0.03800915523515785,50609.11657680388,93325.76391870745,100,188132081.5945797,34177.058268977336,188097904.53631073,5504.6306242614219,1.8042666605547597e+18,6.024492904543877e-09,4.94765117764473e-09,1.3877787807814457e-15,6.2549115817684773e-09,-201472.82207997912,5.642745455987218e-09,1.6273688174806011e-08,100,0.038009155235157334,0.03800915523515785,0.03800915523515646,0.03800915523515762,50609.1165768012,50609.11657680388,50609.1165768051,50609.116576807224,93325.76391870719,93325.76391870745,93325.7639187025,93325.76391870505
