"{'distance': [0.286, 0.535, 0.624, 0.677, 0.696, 0.939, 0.993], 'solute_2': [6.28, -18.37, 5.46, -9.01, 11.25, -7.52, 13.84], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '114.0 M', 'solute_2e': '243.0 nM', 'solute_1e': '321.0 uM', 'solute_2i': '61.0 nM'}"
voltage,current,solute_2,solute_1
-150,0.0002053580628821302,-0.013801030746549259,640.9565690773452
-140,0.0005174393874931537,-0.006422611814798529,1614.9857843257778
-130,0.0009300121568403157,-0.002927965348590078,2902.6625935094053
-120,0.001443620280802629,-0.0013220691400590567,4505.682597982464
-110,0.0020700567616217165,-0.0005936550611238545,6460.851909578021
-100,0.0028318998880657175,-0.00026472307439462384,8838.639116363891
-90,0.003759497238971343,-0.00011672317586430836,11733.761786421499
-80,0.004889399057693415,-5.041133219663152e-05,15260.29673484771
-70,0.0062646987856115974,-2.114030336031192e-05,19552.74279770584
-60,0.007936641752184934,-8.416331539251587e-06,24771.041681902396
-50,0.00996695349827403,-2.9613534806571806e-06,31107.844878972683
-40,0.012430632953826038,-9.389414721283629e-07,38797.23144234356
-30,0.015419137122820194,-2.584698322039003e-08,48124.64769921497
-20,0.019043972381080403,3.9755740743885326e-07,59438.116045421426
-10,0.0234407291149558,5.171963923800149e-07,73160.82744940727
0,0.02877362348901942,5.187974618792168e-07,89805.31675672035
10,0.03524075999432628,6.756139629970903e-07,109989.88762206558
20,0.04308069873344692,7.215379049796411e-07,134459.1096542314
30,0.05258135248764473,6.537210930357418e-07,164111.58703943595
40,0.06409219382515276,7.147949085961613e-07,200038.0581302239
50,0.07803987010635517,8.29147735692537e-07,243570.13141725818
60,0.0949464299244591,9.100119729432699e-07,296337.1720479636
70,0.11544971174901747,1.037848962853749e-06,360329.9367936484
80,0.14032676084410312,1.2213249035442075e-06,437973.66056089825
90,0.1705220370099258,1.4093045197643983e-06,532216.0955351881
100,0.20718219408483926,1.4588967390330443e-06,646636.061436866
"{'distance': [0.286, 0.535, 0.624, 0.677, 0.696, 0.939, 0.993], 'solute_2': [6.28, -18.37, 5.46, -9.01, 11.25, -7.52, 13.84], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_1i': '114.0 M', 'solute_2e': '243.0 nM', 'solute_1e': '321.0 uM', 'solute_2i': '61.0 nM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,216927752601.19992,0.33384379145361132,216927752600.86609,649788188831.25085,35470920519704052.0,9.468102603674144e-07,5.541873179026879e-06,1.4722581606532031e-12,-6.7264443204769055e-07,-65.556871852942152,7.004262964096272e-06,1.0749391754009735e-05
-140,218117583655.08066,0.33571856114148202,218117583654.74493,649703677131.98694,25120008443802552.0,3.692958144531182e-06,1.2510185115388595e-05,2.8326902455633185e-12,-4.5197360185943005e-06,-73.539110094229116,1.3792258360575338e-05,2.2663527831255357e-05
-130,219319289536.45541,0.33760385899094369,219319289536.1178,649635019552.12756,80791261195534784.0,5.300216754723294e-06,4.025373527838383e-06,2.910113773221812e-12,-1.2830062558385243e-05,-90.01875368679427,1.1011746427470875e-05,1.8364677779381894e-05
-120,220533908942.02719,0.33949974412509137,220533908941.68768,649584904726.0835,32236893146615920.0,5.09341630205995e-06,5.0418047976563685e-06,5.165767986980985e-14,-2.5939038322042642e-05,-117.73842438771908,8.0624072644172808e-06,1.2997227971391862e-05
-110,221762703262.94662,0.34140627599903822,221762703262.60522,649556609977.40808,5.4453393245423878e+17,7.328197085598731e-06,1.019741830532439e-06,2.2298916185770068e-12,2.4988921191387048e-05,-161.38455097589761,1.0917272849104205e-05,1.6847185519050585e-05
-100,223007205598.00735,0.34332351440178011,223007205597.66403,649554126773.35413,32607924041428012.0,4.363066558710216e-06,4.991466994397342e-06,2.0133981287751013e-13,2.7956108733367739e-05,-228.52686618480104,7.480476999808846e-06,1.2440123855682378e-05
-90,224269280570.80035,0.34525151945807048,224269280570.45511,649582312983.96082,68339715739066600.0,6.618525551369551e-06,2.1606823793263175e-05,9.043402311725846e-12,-3.8902799417428469e-05,-331.1021092233035,3.6153747427432023e-05,5.68204041941619e-05
-80,225551197332.29221,0.34719035163030582,225551197331.94501,649647077671.27979,37927488450884064.0,5.1509419307649296e-06,1.4865532648400404e-05,3.1190891883192684e-12,2.412224034742394e-05,-487.71712301665184,1.7647084248154276e-05,2.921960135497784e-05
-70,226855718655.23111,0.349140071720422,226855718654.88196,649755605357.40649,38772535832707288.0,3.3349410305060505e-06,7.920789357740432e-07,1.3222973063720111e-12,-1.6698793934612824e-05,-727.17693968966023,5.0905052291811482e-06,8.2009373551800824e-06
-60,228186209667.42905,0.35110074087180088,228186209667.07794,649916628204.29016,1.2392602789907011e+18,4.916805806942648e-07,1.5191431884886697e-05,5.010797332616335e-12,-5.7014231060747989e-06,-1093.8214985379034,2.1581017586535549e-05,3.1452490307084677e-05
