voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2","current, barrier 3",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_2 transport over barrier 3,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2,solute_1 transport over barrier 3
10,0.003136066768264517,5627.0293968932165,6974.458985275356,10,121122497.36270043,84061.998848568997,121038435.36385186,1440.8710121310935,1.3746242416403919e+18,1.04046193882823e-09,9.604264050722122e-10,1.444157293750692e-16,62160.856376163734,8.3377660339780416e-08,8.3742311348579854e-10,3.6415599424799439e-09,10,0.003136066768264374,0.003136066768264517,0.0031360667682644883,0.0031360667682645183,5627.029396893195,5627.0293968932165,5627.029396892485,5627.029396892176,6974.4589852749195,6974.458985275356,6974.458985275633,6974.45898527588
20,0.006351433352040709,11139.599082461464,14253.650371505566,20,123219838.66936821,76062.441993080982,123143776.22737512,1619.9826805531288,1.2104025712223514e+18,5.602487362921238e-10,7.8580342233181e-10,1.97758476261356e-16,64458.836571123851,8.4749742185723228e-08,8.5308114575415819e-10,3.4123104342143051e-09,20,0.006351433352040853,0.006351433352040709,0.006351433352040655,0.006351433352040667,11139.599082461616,11139.599082461464,11139.599082461682,11139.599082462024,14253.650371505937,14253.650371505566,14253.650371505286,14253.650371505151
30,0.009703011937660837,16464.009909685457,22052.052278805328,30,126533426.34564915,68824.143622529344,126464602.20202662,1838.5034623842218,4.5120829292214682e+17,1.418811734765768e-10,8.512870408594608e-10,2.498001805406602e-16,68149.689182352464,8.7038664202596465e-08,1.0397417184643053e-09,3.8871803553774953e-09,30,0.009703011937660622,0.009703011937660837,0.009703011937660721,0.009703011937660587,16464.00990968547,16464.009909685457,16464.00990968554,16464.0099096856,22052.05227880465,22052.052278805328,22052.052278804927,22052.052278804476
40,0.013217966072153179,21583.95537826776,30462.598066650073,40,131095553.34898375,62274.660413945508,131033278.6885698,2105.11871887505,4.071025953193808e+17,5.165929906070232e-10,1.1896190699189901e-09,2.96637714392034e-16,73043.692939811895,9.0269148745377909e-08,8.8031961642928978e-10,3.3305411761830328e-09,40,0.013217966072153193,0.013217966072153179,0.013217966072153283,0.013217966072153475,21583.95537826774,21583.95537826776,21583.95537826772,21583.955378267245,30462.598066650127,30462.598066650073,30462.598066650422,30462.598066651262
50,0.01690193970729588,26530.55070635334,39487.34545611135,50,136950963.8044157,56348.442938020635,136894615.36147767,2430.4303129556256,1.2037599578433388e+18,7.275957614183426e-10,1.3242242857813835e-09,4.753142324176451e-16,78909.320978557094,9.4478571841575832e-08,1.7134185502423701e-09,7.3199544203816913e-09,50,0.01690193970729557,0.01690193970729588,0.016901939707296046,0.016901939707296025,26530.550706353068,26530.55070635334,26530.550706353388,26530.550706353795,39487.34545611052,39487.34545611135,39487.34545611184,39487.345456111565
60,0.020752966060858212,31360.247217427448,49091.930264127135,60,144157298.53041929,50986.179618385198,144106312.3508009,2827.3798823404559,5.7216777640399686e+17,5.784386303275824e-10,8.294591680169106e-10,2.706168622523819e-16,85498.156372409736,9.9715608251083527e-08,1.1100106040943769e-09,4.2408885292388732e-09,60,0.020752966060858028,0.020752966060858212,0.020752966060858098,0.02075296606085794,31360.247217427182,31360.247217427448,31360.24721742776,31360.247217427444,49091.9302641267,49091.930264127135,49091.930264126626,49091.930264126306
70,0.02477259462748172,36134.73712435512,59250.34250986277,70,152785669.52183977,46134.203121417318,152739535.31871834,3311.7656572442374,1.5675494312663288e+18,1.076841726899147e-09,1.5934347175061703e-09,5.342948306008566e-16,92567.457642257417,1.0603885414999301e-07,1.6656110768094612e-09,6.2231464426076855e-09,70,0.024772594627481187,0.02477259462748172,0.024772594627481506,0.024772594627481607,36134.73712435496,36134.73712435512,36134.737124355845,36134.737124356034,59250.34250986118,59250.34250986277,59250.34250986174,59250.34250986196
80,0.028971789422720974,40908.52882451086,69969.54776852165,80,162921369.13354927,41743.953235529756,162879625.18031374,3902.8735063568711,1.6328031098688328e+18,1.367880031466484e-09,1.2514647096395493e-09,2.1510571102112408e-16,99900.012407407994,1.1351676088850715e-07,1.2995725642469571e-09,5.2571920150512597e-09,80,0.028971789422720887,0.028971789422720974,0.028971789422720853,0.028971789422721068,40908.528824510955,40908.52882451086,40908.5288245104,40908.52882450959,69969.54776852133,69969.54776852165,69969.5477685215,69969.54776852258
90,0.033372833842255076,45723.6700112349,81298.07086908628,90,174664721.05624309,37771.490864250583,174626949.56537884,4624.247469711534,3.9831655597233172e+18,8.731149137020111e-10,1.2660166248679161e-09,3.469446951953614e-16,107322.00549764563,1.2222738913298542e-07,1.5785021189787897e-09,5.620989895760431e-09,90,0.03337283384225496,0.033372833842255076,0.033372833842254875,0.03337283384225473,45723.67001123441,45723.6700112349,45723.67001123478,45723.670011235285,81298.07086908616,81298.07086908628,81298.07086908571,81298.07086908502
100,0.038009155235155974,50609.116576805354,93325.76391870086,100,188132081.5945797,34177.058268977336,188097904.53631073,5504.6306242614219,1.8042666605547597e+18,1.1350493878126144e-09,2.663000486791134e-09,6.800116025829084e-16,114716.77557517517,1.3225792909950911e-07,1.4505764215263792e-09,5.6293032457688241e-09,100,0.03800915523515565,0.038009155235155974,0.03800915523515633,0.03800915523515632,50609.11657680545,50609.116576805354,50609.11657680478,50609.116576804314,93325.7639186998,93325.76391870086,93325.76391870226,93325.76391870246
