voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.570485752258291,-1780542.297934741,-150,41203357.069241852,1870629.5169221638,39332727.552319691,22.026465794806715,2.507850753741625e+17,9.313225746154785e-10,3.3306690738754696e-16,58330367.538101859,2.325910640857515e-10,9.8781676197407899e-10,1.3969838619232178e-09,-150,-0.5704857522582907,-0.570485752258291,-1780542.29793474,-1780542.297934741
-140,-0.46650339903605365,-1456003.1180900552,-140,33775479.937448874,1533404.4168543951,32242075.520594478,22.026465794806718,1.027875746589923e+17,6.984919309616089e-10,2.220446049250313e-16,47814942.729457289,4.65182128171503e-10,6.5854450798271929e-10,9.3132257461547852e-10,-140,-0.4665033990360534,-0.46650339903605365,-1456003.1180900545,-1456003.1180900552
-130,-0.3812434652216656,-1189898.45574802,-130,27703131.409299448,1257720.2201830831,26445411.189116366,22.026465794806715,1.6861567582724458e+17,2.3283064365386963e-10,5.551115123125783e-17,39218499.462196954,2.325910640857515e-10,3.2927225399135965e-10,4.6566128730773926e-10,-130,-0.3812434652216655,-0.3812434652216656,-1189898.4557480197,-1189898.45574802
-120,-0.31128417030322314,-971548.5964520073,-120,22742606.816897139,1032512.7521029394,21710094.064794198,22.026465794806715,inf,1.1641532182693481e-10,5.551115123125783e-17,32196032.28384614,0.0,0.0,0.0,-120,-0.3112841703032231,-0.31128417030322314,-971548.5964520072,-971548.5964520073
-110,-0.25381780213190386,-792190.393670112,-110,18694822.890765645,848743.64616285439,17846079.244602792,22.026465794806715,1.1378642181724413e+17,4.656612873077393e-10,1.1102230246251565e-16,26465704.928982981,2.325910640857515e-10,8.2318063497839909e-10,1.1641532182693481e-09,-110,-0.25381780213190375,-0.25381780213190386,-792190.3936701115,-792190.393670112
-100,-0.2065380335748883,-644625.5729553319,-100,15397327.849215943,699037.60288435593,14698290.246331587,22.026465794806711,1.8743230163198749e+17,1.1641532182693481e-10,2.7755575615628914e-17,21797539.240312755,1.1629553204287575e-10,3.2927225399135965e-10,4.6566128730773926e-10,-100,-0.20653803357488829,-0.2065380335748883,-644625.5729553318,-644625.5729553319
-90,-0.16754736150945634,-522931.8399171547,-90,12717781.63794026,577386.39309710742,12140395.244843151,22.026465794806715,1.5481407601342682e+17,1.1641532182693481e-10,5.551115123125783e-17,18004185.33770768,1.1629553204287575e-10,1.6463612699567982e-10,2.3283064365386963e-10,-90,-0.1675473615094564,-0.16754736150945634,-522931.8399171548,-522931.8399171547
-80,-0.13528095336008678,-422225.1977530798,-80,10548644.658955211,478907.72660597751,10069736.932349233,22.026465794806718,2.5681816570875018e+17,5.820766091346741e-11,2.7755575615628914e-17,14933402.609687267,5.8147766021437876e-11,0.0,0.0,-80,-0.13528095336008675,-0.13528095336008678,-422225.19775307976,-422225.1977530798
-70,-0.10844384487270213,-338463.9353080591,-70,8802861.8289376087,399649.3087426264,8403212.5201949831,22.026465794806715,2.1431519413028032e+17,1.1641532182693481e-10,4.163336342344337e-17,12461949.763126576,5.8147766021437876e-11,1.6463612699567982e-10,2.3283064365386963e-10,-70,-0.10844384487270209,-0.10844384487270213,-338463.935308059,-338463.9353080591
-60,-0.08595896865222442,-268286.4190144333,-60,7410368.753059567,336430.22090301686,7073938.5321565503,22.026465794806711,1.8041344380394461e+17,1.1641532182693481e-10,4.163336342344337e-17,10490638.717433603,5.8147766021437876e-11,8.2318063497839911e-11,1.1641532182693481e-10,-60,-0.08595896865222438,-0.08595896865222442,-268286.41901443317,-268286.4190144333
-50,-0.06692392766617071,-208876.17873336677,-50,6315279.7948112935,286713.25911487255,6028566.5356964208,22.026465794806711,1.5375231845202826e+17,2.9103830456733704e-11,1.3877787807814457e-17,8940353.8386021443,5.8147766021437876e-11,8.2318063497839911e-11,1.1641532182693481e-10,-50,-0.0669239276661707,-0.06692392766617071,-208876.17873336675,-208876.17873336677
-40,-0.05057477888320854,-157848.8729188781,-40,5473645.1891801525,248503.10713354201,5225142.0820466103,22.026465794806718,2.6652362700119661e+17,1.1641532182693481e-10,4.163336342344337e-17,7748876.7510252818,2.9073883010718938e-11,1.2347709524675987e-10,1.7462298274040222e-10,-40,-0.0505747788832085,-0.05057477888320854,-157848.87291887798,-157848.8729188781
-30,-0.03625537355692263,-113156.5966196087,-30,4851687.1842626259,220266.25739507109,4631420.9268675549,22.026465794806718,2.3623914607782202e+17,1.1641532182693481e-10,4.163336342344337e-17,6868389.2956187399,2.9073883010718938e-11,8.2318063497839911e-11,1.1641532182693481e-10,-30,-0.036255373556922585,-0.03625537355692263,-113156.59661960858,-113156.5966196087
-20,-0.02339102367272685,-73005.69186244336,-20,4424444.4214786999,200869.46597315092,4223574.955505549,22.026465794806715,inf,0.0,0.0,6263554.4191959137,0.0,0.0,0.0,-20,-0.02339102367272685,-0.02339102367272685,-73005.69186244336,-73005.69186244336
-10,-0.011465437699972356,-35784.7618600885,-10,4174770.1486067669,189534.27152126568,3985235.8770855013,22.026465794806715,2.032785910388279e+17,7.275957614183426e-11,2.42861286636753e-17,5910097.9744466618,2.9073883010718938e-11,8.2318063497839911e-11,1.1641532182693481e-10,-10,-0.011465437699972332,-0.011465437699972356,-35784.76186008843,-35784.7618600885
