voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,-0.066923927666170703848806340573632975865960756000131984963246525868579859094558276,-208876.17873336675165758564938559905650890067007388042058793627605537201183314826,-50,6315279.7948112941207547139283498303605298518943224566494387543489114026605785242,6315279.7948112941207547139283498303605298518943224566494387543489114026605785242,0.0,1.0,12630559.589622588241509427856699660721059703788644913298877508697822805321157048,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,6321784.8254827570641571474450470284814283559321458972604665246865930188426951934,0.0,1.8202193784153546316490081648122991946121208894576819429061098186448808895286674e-76,2.5741789314493194269371980220219690287083410808172138262305584073351518475024329e-76,-50,-0.066923927666170703848806340573632975865960756000131984963246525868579859094558276,-0.066923927666170703848806340573632975865960756000131984963246525868579859094558276,-208876.17873336675165758564938559905650890067007388042058793627605537201183314826,-208876.17873336675165758564938559905650890067007388042058793627605537201183314826
-40,-0.050574778883208517377806871541477214335898155747558733245448914616976432371502911,-157848.87291887802725910581177731505950473818498564432850437587664441885272366277,-40,5473645.1891801515706909086744380110701522011867890486257460129018597092260599715,5473645.1891801515706909086744380110701522011867890486257460129018597092260599715,0.0,1.0,10947290.378360303141381817348876022140304402373578097251492025803719418452119943,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,5479283.2972287572643957207122490596759314966472619237948085559728308107962714882,0.0,2.6860446343722002272258847658042814261986761366650659516776353964110213182992963e-76,3.7986407510686468710669380629922151541525438623887098694895666783221865389491492e-76,-40,-0.050574778883208517377806871541477214335898155747558733245448914616976432371502911,-0.050574778883208517377806871541477214335898155747558733245448914616976432371502911,-157848.87291887802725910581177731505950473818498564432850437587664441885272366277,-157848.87291887802725910581177731505950473818498564432850437587664441885272366277
-30,-0.036255373556922608448404139109735874674154099516257672859103233967080925943020368,-113156.59661960864631936011264127469926666516027525472567212325160651688168535924,-30,4851687.184262625193956671818912828151525415639189676146913307690189271621781255,4851687.184262625193956671818912828151525415639189676146913307690189271621781255,0.0,1.0,9703374.36852525038791334363782565630305083127837935229382661538037854324356251,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,4856684.6467611042676828204700534511555662640760954496916862952654930098685074306,0.0,2.0846619301415715946553616654049957211477008358400143148735419990014713207775993e-77,2.9481571745690841737167714473177531477026187610514277449140418761820435781133625e-77,-30,-0.036255373556922608448404139109735874674154099516257672859103233967080925943020368,-0.036255373556922608448404139109735874674154099516257672859103233967080925943020368,-113156.59661960864631936011264127469926666516027525472567212325160651688168535924,-113156.59661960864631936011264127469926666516027525472567212325160651688168535924
-20,-0.023391023672726848536836814550366326129520843221772900079088159704262600095027302,-73005.691862443351182900295742254663462952414895770929054458026149583353581704338,-20,4424444.421478699743961181669400113599082928918114965059022161710868219334332115,4424444.421478699743961181669400113599082928918114965059022161710868219334332115,0.0,1.0,8848888.84295739948792236333880022719816585783622993011804432342173643866866423,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,4429001.8041443971495762898643048948145201824603570189613804302239565636864249963,0.0,1.4776009271904661667128266388645966792241600526509119908967267620112004530279317e-76,2.0896432710078174001069798738596787639436197969329171972008864812888616038026856e-76,-20,-0.023391023672726848536836814550366326129520843221772900079088159704262600095027302,-0.023391023672726848536836814550366326129520843221772900079088159704262600095027302,-73005.691862443351182900295742254663462952414895770929054458026149583353581704337,-73005.691862443351182900295742254663462952414895770929054458026149583353581704338
-10,-0.011465437699972340237214385569392094710652913992837618238640587931809024511256334,-35784.761860088454483985127484695140159373060417933764931545626044490687118620544,-10,4174770.1486067671292957190508651627079515014038703573693480986940181586064149017,4174770.1486067671292957190508651627079515014038703573693480986940181586064149017,0.0,1.0,8349540.2972135342585914381017303254159030028077407147386961973880363172128298034,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,4.9416552858893077614133940865328214098640443979852379140989514180194426363920748e-83,4179070.3552081131912177214412499941584361413617509485833840467663969154438702596,0.0,1.7953878564645553624578505198016183413892199227798366688621386622973507914498868e-76,2.5390618563321338858133204518377212691469212698097920197506511815116606530788348e-76,-10,-0.011465437699972340237214385569392094710652913992837618238640587931809024511256334,-0.011465437699972340237214385569392094710652913992837618238640587931809024511256334,-35784.761860088454483985127484695140159373060417933764931545626044490687118620544,-35784.761860088454483985127484695140159373060417933764931545626044490687118620544
0,0.0,0.0,0,4092644.0604106444336209473345265044355929816313878961986438241245220143526456194,4092644.0604106444336209473345265044355929816313878961986438241245220143526456194,0.0,1.0,8185288.1208212888672418946690530088711859632627757923972876482490440287052912387,0.0,0.0,4096859.673337600648140623193033112208395622324106465332523174015738705901124757,-6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,2.8881335528680993811431586132918964252703142418143387603309318499299153436730713e-77,4.0844376404108584708295801540569396368772402267325995346913624450497645982227083e-77,0,0.0,0.0,0.0,0.0
10,0.011465437699972340237214385569392094710652913992837618238640587931809024511256334,35784.761860088454483985127484695140159373060417933764931545626044490687118620544,10,4174770.1486067671292957190508651627079515014038703573693480986940181586064149017,4174770.1486067671292957190508651627079515014038703573693480986940181586064149017,0.0,1.0,8349540.2972135342585914381017303254159030028077407147386961973880363172128298034,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,4.9416552858893077614133940865328214098640443979852379140989514180194426363920748e-83,4179070.3552081131912177214412499941584361413617509485833840467663969154438702596,0.0,1.7953878564645553624578505198016183413892199227798366688621386622973507914498868e-76,2.5390618563321338858133204518377212691469212698097920197506511815116606530788348e-76,10,0.011465437699972340237214385569392094710652913992837618238640587931809024511256334,0.011465437699972340237214385569392094710652913992837618238640587931809024511256334,35784.761860088454483985127484695140159373060417933764931545626044490687118620544,35784.761860088454483985127484695140159373060417933764931545626044490687118620544
20,0.023391023672726848536836814550366326129520843221772900079088159704262600095027302,73005.691862443351182900295742254663462952414895770929054458026149583353581704337,20,4424444.421478699743961181669400113599082928918114965059022161710868219334332115,4424444.421478699743961181669400113599082928918114965059022161710868219334332115,0.0,1.0,8848888.84295739948792236333880022719816585783622993011804432342173643866866423,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,4429001.8041443971495762898643048948145201824603570189613804302239565636864249963,0.0,1.4776009271904661667128266388645966792241600526509119908967267620112004530279317e-76,2.0896432710078174001069798738596787639436197969329171972008864812888616038026856e-76,20,0.023391023672726848536836814550366326129520843221772900079088159704262600095027302,0.023391023672726848536836814550366326129520843221772900079088159704262600095027302,73005.691862443351182900295742254663462952414895770929054458026149583353581704338,73005.691862443351182900295742254663462952414895770929054458026149583353581704337
30,0.036255373556922608448404139109735874674154099516257672859103233967080925943020368,113156.59661960864631936011264127469926666516027525472567212325160651688168535924,30,4851687.184262625193956671818912828151525415639189676146913307690189271621781255,4851687.184262625193956671818912828151525415639189676146913307690189271621781255,0.0,1.0,9703374.36852525038791334363782565630305083127837935229382661538037854324356251,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,4856684.6467611042676828204700534511555662640760954496916862952654930098685074306,0.0,2.0846619301415715946553616654049957211477008358400143148735419990014713207775993e-77,2.9481571745690841737167714473177531477026187610514277449140418761820435781133625e-77,30,0.036255373556922608448404139109735874674154099516257672859103233967080925943020368,0.036255373556922608448404139109735874674154099516257672859103233967080925943020368,113156.59661960864631936011264127469926666516027525472567212325160651688168535924,113156.59661960864631936011264127469926666516027525472567212325160651688168535924
40,0.050574778883208517377806871541477214335898155747558733245448914616976432371502911,157848.87291887802725910581177731505950473818498564432850437587664441885272366277,40,5473645.1891801515706909086744380110701522011867890486257460129018597092260599715,5473645.1891801515706909086744380110701522011867890486257460129018597092260599715,0.0,1.0,10947290.378360303141381817348876022140304402373578097251492025803719418452119943,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,5479283.2972287572643957207122490596759314966472619237948085559728308107962714882,0.0,2.6860446343722002272258847658042814261986761366650659516776353964110213182992963e-76,3.7986407510686468710669380629922151541525438623887098694895666783221865389491492e-76,40,0.050574778883208517377806871541477214335898155747558733245448914616976432371502911,0.050574778883208517377806871541477214335898155747558733245448914616976432371502911,157848.87291887802725910581177731505950473818498564432850437587664441885272366277,157848.87291887802725910581177731505950473818498564432850437587664441885272366277
50,0.066923927666170703848806340573632975865960756000131984963246525868579859094558276,208876.17873336675165758564938559905650890067007388042058793627605537201183314826,50,6315279.7948112941207547139283498303605298518943224566494387543489114026605785242,6315279.7948112941207547139283498303605298518943224566494387543489114026605785242,0.0,1.0,12630559.589622588241509427856699660721059703788644913298877508697822805321157048,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,6321784.8254827570641571474450470284814283559321458972604665246865930188426951934,0.0,1.8202193784153546316490081648122991946121208894576819429061098186448808895286674e-76,2.5741789314493194269371980220219690287083410808172138262305584073351518475024329e-76,50,0.066923927666170703848806340573632975865960756000131984963246525868579859094558276,0.066923927666170703848806340573632975865960756000131984963246525868579859094558276,208876.17873336675165758564938559905650890067007388042058793627605537201183314826,208876.17873336675165758564938559905650890067007388042058793627605537201183314826
60,0.085958968652224402042387311616244657042117640077723489522301672441234285491381894,268286.41901443322842287085218803732191295353414257221544584376555195979288606126,60,7410368.7530595679457268829712928298721874730542655568683394564849713708147077809,7410368.7530595679457268829712928298721874730542655568683394564849713708147077809,0.0,1.0,14820737.506119135891453765942585659744374946108531113736678912969942741629415562,0.0,0.0,7418001.7760754458182005127780795528027507921060887410500775937901609781512161224,0.0,3.7870049672720464176251934446064330392468851724289934699298991306144870644341578e-76,5.3556337854904069903756661702661292693580094545225624729189219107913422540435211e-76,60,0.085958968652224402042387311616244657042117640077723489522301672441234285491381894,0.085958968652224402042387311616244657042117640077723489522301672441234285491381894,268286.41901443322842287085218803732191295353414257221544584376555195979288606126,268286.41901443322842287085218803732191295353414257221544584376555195979288606126
70,0.10844384487270210298809319927530382159454901954133724070262146258826627849465486,338463.93530805901519588686002592257395426806691533823551616319015677503423821499,70,8802861.8289376076837879672485187601309021374294488780399528150468099222324452882,8802861.8289376076837879672485187601309021374294488780399528150468099222324452882,0.0,1.0,17605723.657875215367575934497037520261804274858897756079905630093619844464890576,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,8811929.1843128892920992215702117821936144628136978258093972313761731103838854881,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,2.2786374979723348330673757458739059998573697752517757798335495184698303790962478e-76,3.2224800533643717902362349954659075527564638389532428430203218451560066577875585e-76,70,0.10844384487270210298809319927530382159454901954133724070262146258826627849465486,0.10844384487270210298809319927530382159454901954133724070262146258826627849465486,338463.93530805901519588686002592257395426806691533823551616319015677503423821499,338463.93530805901519588686002592257395426806691533823551616319015677503423821499
80,0.13528095336008674775684430513756345530232258109467453292275706753554144346501154,422225.19775307975840774090509159718056131149899511366109663727851217663571063051,80,10548644.658955209933209207759390458693379422102230816169038366105046668055166129,10548644.658955209933209207759390458693379422102230816169038366105046668055166129,0.0,1.0,21097289.317910419866418415518780917386758844204461632338076732210093336110332257,0.0,0.0,10559510.251498749455368209469304473298992657001180972053187116790988792401836389,-6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,4.9767884656589012020317751089803019699394990742520444475188840750310156138710458e-76,7.0382417451968044814021276053488991711492639036403605717481607317144223271553987e-76,80,0.13528095336008674775684430513756345530232258109467453292275706753554144346501154,0.13528095336008674775684430513756345530232258109467453292275706753554144346501154,422225.19775307975840774090509159718056131149899511366109663727851217663571063051,422225.19775307975840774090509159718056131149899511366109663727851217663571063051
90,0.16754736150945630657655372794194260561927454382367507492671245909140110079479188,522931.83991715454133667038074891216313181857333321511208303102105966655811633512,90,12717781.637940259740430201478118032141113795900623491336113409001426538890724976,12717781.637940259740430201478118032141113795900623491336113409001426538890724976,0.0,1.0,25435563.275880519480860402956236064282227591801246982672226818002853077781449951,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,12730881.54203251249688940076584647415352055334501056225335580148618151262289421,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,4.5235775246583877117932738212143737874273041953752944083996710712626273678304878e-76,6.3973046858180056963928386198820992776667647318483500871632885761864068607276062e-76,90,0.16754736150945630657655372794194260561927454382367507492671245909140110079479188,0.16754736150945630657655372794194260561927454382367507492671245909140110079479188,522931.83991715454133667038074891216313181857333321511208303102105966655811633513,522931.83991715454133667038074891216313181857333321511208303102105966655811633512
100,0.20653803357488829141678675349800704499222211125978998534153144659427859399061977,644625.57295533177857384815980616478643364057727106182914339928408967505426637259,100,15397327.849215943974942629572901032860640825813843111122839941402755881264440584,15397327.849215943974942629572901032860640825813843111122839941402755881264440584,0.0,1.0,30794655.698431887949885259145802065721281651627686222245679882805511762528881168,0.0,0.0,15413187.810005015100816256405545327809248183777917625325862531999271157113125564,0.0,5.5458040131845799557645420170680774037189757832514822889951251617310053046396271e-76,7.8429512497087718016592774347592897490627897303647725559861052302848251593172962e-76,100,0.20653803357488829141678675349800704499222211125978998534153144659427859399061977,0.20653803357488829141678675349800704499222211125978998534153144659427859399061977,644625.57295533177857384815980616478643364057727106182914339928408967505426637259,644625.57295533177857384815980616478643364057727106182914339928408967505426637259
