voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,7.354573931873628e-05,459.0870119771303,-50,12997559.038708534,890.63749312530217,12996668.401215408,14593.545790554239,1.6168383891199105e+20,0.0,0.0,18381324.313441027,1.136868374547099e-13,1.6077746776921858e-13,2.2737367544323206e-13,-50,7.354573931873628e-05,7.354573931873628e-05,459.0870119771303,459.0870119771303
-40,8.561906302533423e-05,534.4510800582661,-40,13823380.835301027,946.77127552650495,13822434.064025501,14600.549459650394,1.7195669383210012e+20,3.410605131648481e-13,5.421010862427522e-20,19549212.700983308,1.1368683745496592e-13,4.8233240330765576e-13,6.8212102632969618e-13,-40,8.561906302533428e-05,8.561906302533423e-05,534.4510800582665,534.4510800582661
-30,9.967427570035497e-05,622.1864900147002,-30,14701673.018587148,1016.1351033313604,14700656.883483816,14468.226685987198,inf,0.0,0.0,20791305.422122195,0.0,0.0,0.0,-30,9.967427570035497e-05,9.967427570035497e-05,622.1864900147002,622.1864900147002
-20,0.00011603670487418787,724.3240004630953,-20,15635769.355231859,1100.7218465819701,15634668.633385276,14205.014103958254,inf,2.2737367544323206e-13,4.0657581468206416e-20,22112317.135098994,0.0,3.2155493553843715e-13,4.5474735088646412e-13,-20,0.00011603670487418782,0.00011603670487418787,724.3240004630951,724.3240004630953
-10,0.00013508507781028687,843.227701687184,-10,16629215.433664251,1202.8595034216921,16628012.574160829,13824.736294106053,inf,0.0,0.0,23517262.059435762,0.0,0.0,0.0,-10,0.00013508507781028687,0.00013508507781028687,843.227701687184,843.227701687184
0,0.00015726028605084005,981.6497256606744,0,17685782.121940449,1325.2658591728491,17684456.856081277,13345.082422163086,1.1000162191031773e+20,2.2737367544323206e-13,5.421010862427522e-20,25011473.008244753,2.2737367480486915e-13,0.0,0.0,0,0.00015726028605084,0.00015726028605084005,981.6497256606742,981.6497256606744
10,0.00018307558829696864,1142.7939344380065,10,18809479.880758584,1471.1121341141272,18808008.76862447,12785.891329817123,1.1699077151044159e+20,2.2737367544323206e-13,2.710505431213761e-20,26600621.629910562,2.273736747478105e-13,0.0,0.0,10,0.00018307558829696867,0.00018307558829696864,1142.7939344380068,1142.7939344380065
20,0.00021312848762144134,1330.3900600589348,20,20004573.9859487,1644.09709483809,20002929.888853863,12167.513736722916,inf,0.0,0.0,28290739.935970239,0.0,3.2155493553843715e-13,4.5474735088646412e-13,20,0.00021312848762144134,0.00021312848762144134,1330.3900600589348,1330.3900600589348
30,0.00024811455771942415,1548.780010732985,30,21275600.718213491,1848.5333462174476,21273752.184867274,11509.449240798704,inf,0.0,0.0,30088243.196900744,0.0,3.2155493553843715e-13,4.5474735088646412e-13,30,0.00024811455771942415,0.00024811455771942415,1548.780010732985,1548.780010732985
40,0.0002888435379555255,1803.0183392979122,40,22627384.581567742,2089.447802906644,22625295.133764837,10829.361015906043,7.0368643966299283e+19,2.2737367544323206e-13,0.0,31999954.292716164,4.5474734894765737e-13,0.0,0.0,40,0.0002888435379555255,0.0002888435379555255,1803.018339297912,1803.0183392979122
50,0.0003362580694024197,2098.9891972685377,50,24065056.61582974,2372.698667478342,24062683.917162262,10142.483302106632,inf,4.547473508864641e-13,5.421010862427522e-20,34033129.610800996,0.0,6.4310987107687431e-13,9.0949470177292824e-13,50,0.00033625806940241966,0.0003362580694024197,2098.9891972685373,2098.9891972685377
60,0.0003914555050966372,2443.542478755538,60,25594073.872671105,2705.1116243390684,25591368.761046767,9461.3744003722677,7.9594717200423043e+19,4.547473508864641e-13,5.421010862427522e-20,36195486.589280009,4.5474734834647579e-13,1.2862197421537486e-12,1.8189894035458565e-12,60,0.0003914555050966371,0.0003914555050966372,2443.5424787555376,2443.542478755538
70,0.00045571329876726934,2844.652301918036,70,27220240.129148625,3094.6384033282875,27217145.490745295,8795.9356091080699,inf,0.0,0.0,38495233.010472871,0.0,0.0,0.0,70,0.00045571329876726934,0.00045571329876726934,2844.652301918036,2844.652301918036
80,0.0005305185589597383,3311.601491633822,80,28949727.917339027,3550.5413846759338,28946177.375954352,8153.6094867913607,9.0030427629169132e+19,2.2737367544323206e-12,3.2526065174565133e-19,40941098.155626029,4.5474734746635193e-13,1.929329613230623e-12,2.7284841053187847e-12,80,0.0005305185589597386,0.0005305185589597383,3311.6014916338245,3311.601491633822
90,0.0006176024516829918,3855.1963276091874,90,30789101.9536939,4083.6085197604257,30785018.345174141,7539.6801149538724,9.5750676144198484e+19,4.547473508864641e-13,1.0842021724855044e-19,43542365.939181946,4.5474734688670048e-13,6.4310987107687431e-13,9.0949470177292824e-13,90,0.0006176024516829919,0.0006176024516829918,3855.196327609188,3855.1963276091874
100,0.0007189802466687709,4488.016521028533,100,32745344.05704489,4706.4035438254759,32740637.653501064,6957.6150349463451,inf,0.0,0.0,46308910.148360848,0.0,0.0,0.0,100,0.0007189802466687709,0.0007189802466687709,4488.016521028533,4488.016521028533
