voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-50,4.5333681219538704e-10,0.0014149089019831057,-50,686464.5657874858,0.011869750358854854,686464.55391773547,57833108.956279106,5.5963242122988355e+23,5.421010862427522e-18,1.7577588016751838e-24,970807.49902522028,1.7347234759768071e-18,4.9065389333867974e-18,6.9388939039072284e-18,-50,4.533368121953888e-10,4.5333681219538704e-10,0.0014149089019831111,0.0014149089019831057
-40,5.537068355711769e-10,0.0017281736441047968,-40,838449.71403205639,0.010287873864574618,838449.70374418248,81498833.001752064,6.8353658284603203e+23,1.0842021724855044e-18,3.101927297073854e-25,1185746.9569519775,1.7347234759768071e-18,2.4532694666933987e-18,3.4694469519536142e-18,-40,5.537068355711772e-10,5.537068355711769e-10,0.0017281736441047979,0.0017281736441047968
-30,6.76299058454999e-10,0.00211079606259363,-30,1024084.7932973577,0.0091188858716549689,1024084.7841784719,112303718.64622301,inf,1.734723475976807e-18,5.169878828456423e-25,1448274.603701171,0.0,0.0,0.0,-30,6.762990584549984e-10,6.76299058454999e-10,0.002110796062593628,0.00211079606259363
-20,8.26033537201672e-10,0.0025781321385819978,-20,1250819.9911232786,0.0083158707873448087,1250819.9828074079,150413591.44574389,1.019716756031026e+24,4.336808689942018e-19,2.0679515313825692e-25,1768926.5955339351,1.7347234759768071e-18,0.0,0.0,-20,8.260335372016722e-10,8.26033537201672e-10,0.002578132138581998,0.0025781321385819978
-10,1.0089196421967178e-09,0.003148937709727584,-10,1527754.9871198505,0.0078466007967335702,1527754.9792732496,194702779.80190268,1.2454848583584352e+24,1.3010426069826053e-18,4.1359030627651384e-25,2160571.822768026,1.7347234759768071e-18,2.4532694666933987e-18,3.4694469519536142e-18,-10,1.0089196421967182e-09,1.0089196421967178e-09,0.0031489377097275854,0.003148937709727584
0,1.232297234990258e-09,0.0038461212078347634,0,1866004.1550611393,0.0076922424473793265,1866004.1473688968,242582597.70489541,inf,8.673617379884035e-19,2.0679515313825692e-25,2638928.383532011,0.0,1.2266347333466993e-18,1.7347234759768071e-18,0,1.2322972349902578e-09,1.232297234990258e-09,0.0038461212078347625,0.0038461212078347634
10,1.5051312427130214e-09,0.004697663054659867,10,2279142.6217300119,0.0078466007967335702,2279142.613883411,290462415.60788804,inf,0.0,0.0,3223194.4062331556,0.0,0.0,0.0,10,1.5051312427130214e-09,1.5051312427130214e-09,0.004697663054659867,0.004697663054659867
20,1.8383714520801003e-09,0.005737738614482211,20,2783751.0844214368,0.0083158707873448087,2783751.0761055658,334751603.96404696,inf,2.6020852139652106e-18,8.271806125530277e-25,3936818.537859607,0.0,2.4532694666933987e-18,3.4694469519536142e-18,20,1.8383714520801011e-09,1.8383714520801003e-09,0.005737738614482213,0.005737738614482211
30,2.2453919627791344e-09,0.007008089771470457,30,3400081.2525437055,0.0091188858716549689,3400081.2434248198,372861476.76356775,2.7718775280943377e+24,8.673617379884035e-19,4.1359030627651384e-25,4808441.0205178093,1.7347234759768071e-18,0.0,0.0,30,2.245391962779135e-09,2.2453919627791344e-09,0.007008089771470458,0.007008089771470457
40,2.7425279370504195e-09,0.008559700178059987,40,4152868.6198255676,0.010287873864574618,4152868.6095376937,403666362.40803874,3.3855788580966185e+24,5.204170427930421e-18,1.6543612251060553e-24,5873043.1249109553,1.7347234759768071e-18,7.3598084000801965e-18,1.0408340855860843e-17,40,2.742527937050421e-09,2.7425279370504195e-09,0.008559700178059992,0.008559700178059987
50,3.3497311871042635e-09,0.010454841407940898,50,5072325.1865317654,0.011869750358854854,5072325.1746620154,427332086.45351183,inf,0.0,0.0,7173351.0715598622,0.0,2.4532694666933987e-18,3.4694469519536142e-18,50,3.3497311871042635e-09,3.3497311871042635e-09,0.010454841407940898,0.010454841407940898
60,4.0913709114005415e-09,0.012769572132960491,60,6195351.9731151955,0.013928001612556251,6195351.9591871938,444812697.86255735,5.0506901563206635e+24,3.469446951953614e-18,8.271806125530277e-25,8761550.7840544246,1.7347234759768071e-18,4.9065389333867974e-18,6.9388939039072284e-18,60,4.091370911400542e-09,4.0913709114005415e-09,0.012769572132960495,0.012769572132960491
70,4.9972117161489616e-09,0.01559679062468465,70,7567019.9877359513,0.016545232475500174,7567019.9711907189,457353500.40811044,3.0844634437712395e+24,6.938893903907228e-18,2.481541837659083e-24,10701382.293404475,3.4694469519536142e-18,1.4719616800160393e-17,2.0816681711721685e-17,70,4.997211716148964e-09,4.9972117161489616e-09,0.015596790624684657,0.01559679062468465
80,6.103608173466872e-09,0.019049963088223695,80,9242379.0840738229,0.019826481611937403,9242379.0642473418,466163349.8557325,3.7673721576664069e+24,0.0,0.0,13070697.849290626,3.4694469519536142e-18,0.0,0.0,80,6.103608173466872e-09,6.103608173466872e-09,0.019049963088223695,0.019049963088223695
90,7.454963858007888e-09,0.023267677459450336,90,11288667.305249633,0.023903437070960341,11288667.281346196,472261259.82375729,2.30073937219479e+24,0.0,0.0,15964586.404201772,6.9388939039072284e-18,0.0,0.0,90,7.454963858007888e-09,7.454963858007888e-09,0.023267677459450336,0.023267677459450336
100,9.105513418324275e-09,0.02841920542548151,100,13788009.382584432,0.028939721390301112,13788009.35364471,476438912.33885062,5.6202588300128269e+24,0.0,0.0,19499189.866978388,3.4694469519536142e-18,0.0,0.0,100,9.105513418324275e-09,9.105513418324275e-09,0.02841920542548151,0.02841920542548151
