voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.04448235629180563,-138833.82113547326,-150,1305694779479.5476,148384.68330715355,1305694631094.8643,8799390.5461036265,6.344633116952889e+22,2.9103830456733704e-11,1.3877787807814457e-17,1305694779479.5559,2.9103830456733704e-11,0.0,0.0,-150,-0.04448235629180564,-0.04448235629180563,-138833.8211354733,-138833.82113547326
-140,-0.04235079767335881,-132181.01645867294,-140,1198917865539.2979,143853.41577301844,1198917721685.8821,8334302.380633289,5.825782651316988e+22,2.9103830456733704e-11,1.3877787807814457e-17,1198917865539.3064,0.0,4.1159031748919956e-11,5.8207660913467407e-11,-140,-0.042350797673358795,-0.04235079767335881,-132181.0164586729,-132181.01645867294
-130,-0.04013625289226307,-125269.20378359262,-130,1105921869752.8806,139479.69519237289,1105921730273.1853,7928909.4246124737,inf,1.4551915228366852e-11,6.938893903907228e-18,1105921869752.8894,0.0,0.0,0.0,-130,-0.04013625289226308,-0.04013625289226307,-125269.20378359263,-125269.20378359262
-120,-0.03782277300978404,-118048.60489945082,-120,1025871419036.386,135271.22470555885,1025871283765.1613,7583811.1266411021,inf,0.0,0.0,1025871419036.3949,0.0,4.1159031748919956e-11,5.8207660913467407e-11,-120,-0.03782277300978404,-0.03782277300978404,-118048.60489945082,-118048.60489945082
-110,-0.035397070546334966,-110477.74827195682,-110,958093432001.72681,131244.04218869458,958093300757.68457,7300090.8538327338,4.6555683712209091e+22,0.0,0.0,958093432001.73572,0.0,0.0,0.0,-110,-0.035397070546334966,-0.035397070546334966,-110477.74827195682,-110477.74827195682
-100,-0.032850125214753126,-102528.48069523448,-100,902073729653.93896,127428.12166984902,902073602225.81726,7079078.9178475365,4.3833573887589233e+22,1.4551915228366852e-11,6.938893903907228e-18,902073729653.948,0.0,2.0579515874459978e-11,2.9103830456733704e-11,-100,-0.03285012521475312,-0.032850125214753126,-102528.48069523447,-102528.48069523448
-90,-0.030178148260465693,-94188.97709258956,-90,857455929758.51624,123876.80550380125,857455805881.71069,6921844.0552392555,4.1665505398145549e+22,1.4551915228366852e-11,3.469446951953614e-18,857455929758.52515,0.0,2.0579515874459978e-11,2.9103830456733704e-11,-90,-0.030178148260465696,-0.030178148260465693,-94188.97709258957,-94188.97709258956
-80,-0.027381573075604453,-85460.5901236094,-80,824042704991.79565,120682.68505647141,824042584309.1106,6828176.7563109724,8.0083779425976107e+22,2.9103830456733704e-11,1.0408340855860843e-17,824042704991.80444,0.0,6.1738547623379937e-11,8.7311491370201111e-11,-80,-0.027381573075604463,-0.027381573075604453,-85460.59012360944,-85460.5901236094
-70,-0.024459871915961454,-76341.67264657133,-70,801799524503.21985,118004.33655537505,801799406498.8833,6794661.5176041871,3.8961048908750263e+22,1.4551915228366852e-11,3.469446951953614e-18,801799524503.22852,0.0,2.0579515874459978e-11,2.9103830456733704e-11,-70,-0.024459871915961457,-0.024459871915961454,-76341.67264657134,-76341.67264657133
-60,-0.02139890540242545,-66788.0942647486,-60,790861041540.25635,116111.3301586462,790860925428.92615,6811230.5703472737,7.6859052114220472e+22,0.0,0.0,790861041540.26477,2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,-60,-0.02139890540242545,-0.02139890540242545,-66788.0942647486,-66788.0942647486
-50,-0.01814612700543138,-56635.85207687697,-50,791540337121.09009,115459.99960057455,791540221661.09045,6855537.3277270589,7.6925068786816424e+22,7.275957614183426e-12,3.469446951953614e-18,791540337121.09851,0.0,2.0579515874459978e-11,2.9103830456733704e-11,-50,-0.018146127005431383,-0.01814612700543138,-56635.852076876974,-56635.85207687697
-40,-0.014566938464593008,-45464.85163730652,-40,804341282293.23389,116820.99330747043,804341165472.2406,6885246.0462840302,3.9084558023615679e+22,2.9103830456733704e-11,1.0408340855860843e-17,804341282293.24231,0.0,2.0579515874459978e-11,2.9103830456733704e-11,-40,-0.014566938464593018,-0.014566938464593008,-45464.85163730655,-45464.85163730652
-30,-0.010371911756238389,-32371.75953882144,-30,829974340312.4762,121493.99300838527,829974218818.48315,6831402.275626854,4.0330119783941377e+22,1.0913936421275139e-11,3.469446951953614e-18,829974340312.48499,0.0,2.0579515874459978e-11,2.9103830456733704e-11,-30,-0.010371911756238392,-0.010371911756238389,-32371.75953882145,-32371.75953882144
-20,-0.004997758546278365,-15598.497335450578,-20,869376196279.59399,131669.16774996216,869376064610.42627,6602731.7642846107,inf,7.275957614183426e-12,2.6020852139652106e-18,869376196279.60388,2.9103830456733704e-11,0.0,0.0,-20,-0.0049977585462783625,-0.004997758546278365,-15598.497335450571,-15598.497335450578
-10,0.002587779571790913,8076.7152677619015,-10,923733676708.00098,151035.63837608794,923733525672.36255,6115998.0958126439,inf,2.1827872842550278e-11,7.37257477290143e-18,923733676708.01331,0.0,0.0,0.0,-10,0.0025877795717909203,0.002587779571790913,8076.715267761923,8076.7152677619015
0,0.014209320254813067,44348.689933873495,0,994512506679.78662,185805.75288549409,994512320874.03369,5352431.1881380314,inf,4.3655745685100555e-11,1.3877787807814457e-17,994512506679.80383,2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,0,0.014209320254813054,0.014209320254813067,44348.68993387345,44348.689933873495
10,0.033025561140641764,103076.03352260227,10,1083491549417.1543,246439.32686408274,1083491302977.8274,4396585.4119327562,inf,4.3655745685100555e-11,1.3877787807814457e-17,1083491549417.1823,2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,10,0.03302556114064178,0.033025561140641764,103076.03352260232,103076.03352260227
20,0.064442425530465,201131.16582542137,20,1192803284244.7041,350546.18672695762,1192802933698.5173,3402699.3571999264,inf,2.9103830456733704e-11,1.3877787807814457e-17,1192803284244.7554,5.8207660913467407e-11,0.0,0.0,20,0.06444242553046502,0.064442425530465,201131.1658254214,201131.16582542137
30,0.11765577545611751,367215.27920136554,30,1324981406337.1895,527772.23698766029,1324980878564.9524,2510517.4419551147,inf,1.1641532182693481e-10,2.7755575615628914e-17,1324981406337.2944,1.1641532182693481e-10,3.2927225399135965e-10,4.6566128730773926e-10,30,0.11765577545611748,0.11765577545611751,367215.2792013654,367215.27920136554
40,0.20825782784351676,649993.2204853832,40,1483016577975.1069,828024.53986552032,1483015749950.5671,1791029.7419638843,1.8015688355138297e+22,1.1641532182693481e-10,2.7755575615628914e-17,1483016577975.3381,0.0,1.6463612699567982e-10,2.3283064365386963e-10,40,0.20825782784351674,0.20825782784351676,649993.2204853831,649993.2204853832
50,0.36263741075163725,1131827.1246930002,50,1670421529305.4475,1335317.2007556262,1670420193988.2468,1250954.8505480145,inf,2.3283064365386963e-10,5.551115123125783e-17,1670421529305.9812,0.0,0.0,0.0,50,0.3626374107516372,0.36263741075163725,1131827.124693,1131827.1246930002
60,0.6254027664533898,1951943.71552244,60,1891306900330.2744,2191079.1710227127,1891304709251.1033,863185.10318706743,inf,4.656612873077393e-10,1.1102230246251565e-16,1891306900331.5435,0.0,6.5854450798271929e-10,9.3132257461547852e-10,60,0.6254027664533899,0.6254027664533898,1951943.7155224404,1951943.71552244
70,1.0718954812773431,3345491.514598449,70,2150469439062.1609,3633389.9945567604,2150465805672.1663,591863.09267208131,3.2654883808168211e+21,4.656612873077393e-10,0.0,2150469439065.2302,-4.6566128730773926e-10,0.0,0.0,70,1.0718954812773431,1.0718954812773431,3345491.5145984497,3345491.514598449
80,1.8292786013455882,5709358.930541786,80,2453494428155.8765,6063028.2376535675,2453488365127.6387,404664.85260926234,3.7256319025216755e+21,9.313225746154785e-10,2.220446049250313e-16,2453494428163.3677,9.3132257461547852e-10,1.3170890159654386e-09,1.862645149230957e-09,80,1.829278601345588,1.8292786013455882,5709358.930541785,5709358.930541786
90,3.1120636830816584,9713057.687520782,90,2806874509232.752,10154655.687733652,2806864354577.0645,276412.57326167391,inf,1.862645149230957e-09,4.440892098500626e-16,2806874509251.1206,0.0,2.6341780319308772e-09,3.7252902984619141e-09,90,3.112063683081659,3.1120636830816584,9713057.687520783,9713057.687520782
100,5.281951283921414,16485490.89863113,100,3218147416773.3848,17043981.92317668,3218130372791.4614,188814.29417601624,inf,5.587935447692871e-09,1.7763568394002505e-15,3218147416818.5186,3.7252902984619141e-09,5.2683560638617543e-09,7.4505805969238281e-09,100,5.281951283921412,5.281951283921414,16485490.898631124,16485490.89863113
