voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.570485752258291,-1780542.297934741,-150,41203357.069241852,1870629.5169221638,39332727.552319691,22.026465794806715,2.507850753741625e+17,4.656612873077393e-10,2.220446049250313e-16,0.0,-43073986.586164013,3.2927225399135965e-10,4.6566128730773926e-10,-150,-0.5704857522582908,-0.570485752258291,-1780542.2979347405,-1780542.297934741
-140,-0.46650339903605365,-1456003.1180900552,-140,33775479.937448874,1533404.4168543951,32242075.520594478,22.026465794806718,1.027875746589923e+17,2.3283064365386963e-10,5.551115123125783e-17,0.0,-35308884.354303271,0.0,0.0,-140,-0.4665033990360536,-0.46650339903605365,-1456003.118090055,-1456003.1180900552
-130,-0.3812434652216656,-1189898.45574802,-130,27703131.409299448,1257720.2201830831,26445411.189116366,22.026465794806715,1.6861567582724458e+17,0.0,0.0,0.0,-28960851.62948253,3.2927225399135965e-10,4.6566128730773926e-10,-130,-0.3812434652216656,-0.3812434652216656,-1189898.45574802,-1189898.45574802
-120,-0.31128417030322314,-971548.5964520073,-120,22742606.816897139,1032512.7521029394,21710094.064794198,22.026465794806715,inf,1.1641532182693481e-10,0.0,0.0,-23775119.56900008,3.2927225399135965e-10,4.6566128730773926e-10,-120,-0.31128417030322314,-0.31128417030322314,-971548.5964520074,-971548.5964520073
-110,-0.25381780213190386,-792190.393670112,-110,18694822.890765645,848743.64616285439,17846079.244602792,22.026465794806715,1.1378642181724413e+17,2.3283064365386963e-10,1.1102230246251565e-16,0.0,-19543566.536928497,1.6463612699567982e-10,2.3283064365386963e-10,-110,-0.25381780213190397,-0.25381780213190386,-792190.3936701122,-792190.393670112
-100,-0.2065380335748883,-644625.5729553319,-100,15397327.849215943,699037.60288435593,14698290.246331587,22.026465794806711,1.8743230163198749e+17,1.1641532182693481e-10,5.551115123125783e-17,0.0,-16096365.452100299,0.0,0.0,-100,-0.20653803357488837,-0.2065380335748883,-644625.572955332,-644625.5729553319
-90,-0.16754736150945634,-522931.8399171547,-90,12717781.63794026,577386.39309710742,12140395.244843151,22.026465794806715,1.5481407601342682e+17,0.0,0.0,1.1641532182693481e-10,-13295168.031037366,1.6463612699567982e-10,2.3283064365386963e-10,-90,-0.16754736150945634,-0.16754736150945634,-522931.8399171547,-522931.8399171547
-80,-0.13528095336008678,-422225.1977530798,-80,10548644.658955211,478907.72660597751,10069736.932349233,22.026465794806718,2.5681816570875018e+17,0.0,0.0,1.1641532182693481e-10,-11027552.385561187,1.6463612699567982e-10,2.3283064365386963e-10,-80,-0.13528095336008678,-0.13528095336008678,-422225.1977530798,-422225.1977530798
-70,-0.10844384487270213,-338463.9353080591,-70,8802861.8289376087,399649.3087426264,8403212.5201949831,22.026465794806715,2.1431519413028032e+17,0.0,0.0,0.0,-9202511.1376802344,0.0,0.0,-70,-0.10844384487270213,-0.10844384487270213,-338463.9353080591,-338463.9353080591
-60,-0.08595896865222442,-268286.4190144333,-60,7410368.753059567,336430.22090301686,7073938.5321565503,22.026465794806711,1.8041344380394461e+17,0.0,0.0,0.0,-7746798.9739625836,8.2318063497839911e-11,1.1641532182693481e-10,-60,-0.08595896865222442,-0.08595896865222442,-268286.4190144333,-268286.4190144333
